medcodeid,medcode_term
618521000000113,CKD stage 5 without proteinuria
2732241000006113,Acute renal failure syndrome
7262731000006112,Cloudy peritoneal dialysis effluent
3183501000006111,Renal failure syndrome
394639018,Compensation for renal failure
278835013,Compensation for renal failure NOS
1927751000006113,Complication of dialysis
1848741000006116,Complication of peritoneal dialysis
357219012,Continuous ambulatory peritoneal dialysis
1743241000006119,Continuous ambulatory peritoneal dialysis associated peritonitis
3973811000006118,Chronic renal failure syndrome
3973841000006119,CRF - Chronic renal failure
2675886019,Creation of graft fistula for dialysis
4794191000006115,Failed attempted termination of pregnancy with renal failure
5094071000006113,Nephrotoxic acute renal failure
5094141000006118,Acute on chronic renal failure
290737016,Dependence on renal dialysis
615611000006116,Det.ren.func.after ren.transpl
6724211000006116,Dialysis access maintenance
6447761000006113,Dialysis care
5966771000006111,Transient acute renal failure
6593721000006112,Dialysis catheter
2649061000006115,Dialysis dementia
507483018,Dialysis disequilibrium
7043231000006112,Chronic progressive renal failure
3918321000006116,Dialysis disequilibrium syndrome
460680012,Dialysis finding
2478490017,Dialysis fluid creatinine level
2474415018,Dialysis fluid examination
2478492013,Dialysis fluid glucose level
7954351000006118,Acute kidney failure stage 3
2478640010,Dialysis fluid potassium level
2478641014,Dialysis fluid sodium level
8040791000006115,Acute renal failure
2478488018,Dialysis fluid urea level
619541000006116,Dialysis for renal failure
461420012,Dialysis procedure
2613841000000113,Dialysis therapy started by renal service
2613881000000117,Dialysis therapy stopped by renal service
6922501000006119,Dialysis unit
5095941000006115,Disorder of peritoneal dialysis catheter
3245881000006114,End stage chronic renal failure
3245841000006115,End stage kidney disease
215521000000116,End stage renal disease
641471000006117,End stage renal failure
5094161000006119,End stage renal failure on dialysis
5094171000006114,End stage renal failure with renal transplant
641491000006116,End-stage renal disease
12704471000006116,End-stage renal disease
5647621000006110,Entire transplant kidney
349998013,Haemofiltration
3245861000006116,ESCRF - End stage chronic renal failure
3245871000006111,ESRD - End stage renal disease
3245851000006118,ESRF - End stage renal failure
380101000000116,Examination of recipient after kidney transplant
422992018,Excision of rejected transplanted kidney
1905531000006112,Excision of rejected transplanted kidney
4669451000006113,Exploration of kidney transplant
272389014,Exploration of renal transplant
877641000006113,Extracorporeal kidney
5096231000006110,Failed renal transplant
329116017,Failure of sterile precautions during kidney dialysis
663551000006118,Failure of sterile precautions during renal dialysis
5120141000006114,Flushing of chronic ambulatory peritoneal dialysis catheter
1705621000000113,Flushing of peritoneal dialysis catheter
329081019,Foreign object left in body during kidney dialysis
766101000006114,Foreign object left in body during renal dialysis
3798201000006112,Formation of arteriovenous fistula for kidney dialysis
251956015,H/O: kidney dialysis
251957012,H/O: renal dialysis
278832011,Haemodialysis
7770921000006110,Haemodialysis care
2211311000000117,Haemodialysis first use syndrome
7401361000006113,Haemodialysis start/stop set
7403361000006112,"Haemodialysis system, institutional/home-use"
3468091000006118,Haemodialysis training at home
3605671000006116,"Haemodialysis, maintenance at home"
2240871000000116,Haemorrhage of dialysis arteriovenous fistula
2240831000000118,Haemorrhage of dialysis arteriovenous graft
2240911000000119,Haemorrhage of dialysis arteriovenous shunt
2237901000000119,Haemorrhage of dialysis vascular access
5907591000006115,Hemodialysis
460644012,History of renal transplant
2240321000000114,Infection of dialysis arteriovenous graft
2240741000000115,Infection of dialysis arteriovenous shunt
2237861000000114,Infection of dialysis vascular access
1870801000006111,Infection of haemodialysis arteriovenous fistula
773041000006111,Insertion of chronic ambulatory peritoneal dialysis catheter
278844014,Insertion of temporary peritoneal dialysis catheter
3525759011,Insertion of tunnelled haemodialysis catheter
366671000000118,Interventions associated with transplantation of kidney
380061000000118,Interventions associated with transplantation of kidney NOS
282526013,Intestinal dialysis
79191000006119,Ultrafiltration of blood
5488801000006112,Kidney dialysis
754781000006116,"Kidney dialysis with complication, without blame"
866751000006110,Kidney replacement
866731000006115,Kidney replacement NOS
3647061000006115,Kidney transplant
324973015,Kidney transplant failure and rejection
754061000006111,"Kidney transplant with complication, without blame"
3647031000006112,Kidney transplantation
7207581000006116,Laparoscopic insertion of peritoneal dialysis catheter
637771000000113,Ligation of arteriovenous dialysis fistula
638111000000115,Ligation of arteriovenous dialysis graft
90471000006113,Live donor renal transplant
7641781000006113,Maintenance haemodialysis
30043012,Mechanical complication of dialysis catheter
713671000006118,Mechanical failure of apparatus during renal dialysis
713611000006110,Mechanical failure of instrument or apparatus during kidney dialysis
5120251000006115,Night-time intermittent peritoneal dialysis
2238421000000115,Occlusion of dialysis arteriovenous fistula
2238381000000112,Occlusion of dialysis arteriovenous graft
2237821000000118,Occlusion of dialysis vascular access
1550021000006110,OS interventions associated with transplantation of kidney
278834012,Other specified compensation for renal failure
272326017,Other specified transplantation of kidney
4611391000006114,Peritoneal dialysate sample
118218017,Peritoneal dialysis
6210341000006119,Peritoneal dialysis catheter
7218201000006110,Peritoneal dialysis catheter in situ
7083771000006113,Peritoneal dialysis catheter procedure
2641961000000110,Peritoneal dialysis fluid adenosine deaminase level
2474453011,Peritoneal dialysis fluid cell count
375841000000114,Peritoneal dialysis NEC
261136015,Peritoneal dialysis sample
7406851000006110,Peritoneal dialysis system tubing set
453312018,Peritoneal dialysis-associated peritonitis
228111000006111,Placement ambulatory apparatus- compensate renal failure NOS
228121000006115,Placement ambulatory apparatus- compensate renal failure OS
228101000006113,Placement ambulatory apparatus compensation renal failure
228131000006117,Placement ambulatory dialysis apparatus - compens renal fail
228221000006113,Placement other apparatus- compensate for renal failure NOS
228231000006111,Placement other apparatus- compensate for renal failure OS
228211000006117,Placement other apparatus for compensation for renal failure
4259231000006110,Post-dialysis
5096031000006117,Primary non-function of renal transplant
181021000006119,Removal of ambulatory peritoneal dialysis catheter
3135211000006116,Removal of arteriovenous shunt for renal dialysis
4694051000006116,Removal of chronic ambulatory peritoneal dialysis catheter
7354801000006116,Removal of hemodialysis catheter
2672571000006112,Removal of peritoneal dialysis catheter
394640016,Renal dialysis
176711000006111,"Renal dialysis with complication, without blame"
3647091000006111,Renal graft
6613531000006114,Renal replacement
117168016,Renal transplant
7212381000006113,Renal transplant biopsy sample
900121000006113,Renal transplant rejected
988961000006115,Renal transplant rejected
354610013,Renal transplant rejection
177251000006119,"Renal transplant with complication, without blame"
177341000006111,Renal tubulo-interstitial disorders in transplant rejection
2197961000000113,Rupture of artery of transplanted kidney
2240991000000111,Rupture of dialysis arteriovenous fistula
2240951000000115,Rupture of dialysis arteriovenous graft
2241031000000116,Rupture of dialysis arteriovenous shunt
2237941000000116,Rupture of dialysis vascular access
2198001000000111,Rupture of vein of transplanted kidney
2195121000000113,Ruptured aneurysm of dialysis vascular access
2253631000000110,Stenosis of arterial side of dialysis arteriovenous shunt
2645965011,Stenosis of arteriovenous dialysis fistula
4717161000006116,Ultrafiltration
2237981000000112,Stenosis of dialysis arteriovenous graft
5053041000006110,Continuous venovenous haemofiltration
2238021000000114,Stenosis of dialysis arteriovenous shunt
2210341000000113,Stenosis of dialysis vascular access
2198141000000110,Stenosis of vein of transplanted kidney
2253671000000112,Stenosis of venous side of dialysis arteriovenous shunt
106291000006118,Thomas intravascular shunt for dialysis
2234541000000115,Thrombosis of artery of transplanted kidney
2238301000000119,Thrombosis of dialysis arteriovenous fistula
2238261000000112,Thrombosis of dialysis arteriovenous graft
2238341000000116,Thrombosis of dialysis arteriovenous shunt
2210381000000117,Thrombosis of dialysis vascular access
2211591000000116,Thrombus in peritoneal dialysis catheter
394365013,Transplant nephrectomy
3647021000006114,Transplant of kidney
7710041000006114,Transplant renal artery stenosis
501594013,Transplantation of kidney
90461000006118,Transplantation of kidney from cadaver
272327014,Transplantation of kidney NOS
3653841000006116,Transplanted kidney
3647051000006117,Tx - Renal transplantation
413415016,Unexplained episode of renal transplant dysfunction
2189151000000117,Urological complication of renal transplant
5161281000006112,US scan of transplant kidney
2191221000000118,Vascular complication of renal transplant
5191491000006112,Venous port blood sampling during haemodialysis
354613010,Very mild acute rejection of renal transplant
4938591000006118,Washing back through haemodialysis lines
7723851000006119,Continuous renal replacement therapy
353974015,Xenograft renal transplant
