medcodeid,cvd_term
809421000006116,history of cerebrovascular accident
810811000006116,h/o: myocardial infarct at less than 60
810821000006112,h/o: myocardial infarct at greater than 60
813961000006116,haemopericardium as current complication following acute myocardial infarction
854491000006113,unstable angina
855991000006115,angina control - stable
856011000006116,angina control - unsatisfactory
856511000006113,chd annual review
884141000006116,coronary thrombosis
884151000006119,myocardial infarction
884461000006113,basilar artery occluded
884481000006115,vertebral artery occluded
884511000006111,transient ischaemic attacks
884521000006115,stroke/cva - undefined
884531000006117,stroke
884661000006110,peripheral arterial embolism
905351000006113,[rfc] myocardial infarction (mi)
905381000006117,[rfc] angina
906771000006113,[rfc] peripheral vascular disease
907581000006119,[rfc] stroke/cva
907591000006116,[rfc] stroke
908791000006113,[rfc] coronary heart disease
908801000006114,[rfc] stroke
909171000006115,[rfc] cva
931961000006117,acute coronary syndrome
940051000006114,stroke monitoring administration
940061000006111,stroke monitoring invite 1
940071000006116,stroke monitoring invite 2
940081000006118,stroke monitoring invite 3
967931000006114,acute myocardial infarction of posterolateral wall
986831000006115,stroke/transient ischaemic attack monitoring verbal invitation
988951000006117,transient ischaemic attacks
1142521000000115,coronary heart disease leaflet given
1160471000000111,stroke 6 month review
1539331000006118,h/o: coronary heart disease
1562581000006114,stroke/transient ischaemic attack monitoring telephone invitation
1587791000006117,endovas insertion of stent graft for aorto-uniiliac aneurysm
1667741000000110,[v]personal history of transient ischaemic attack
1696201000006114,peripheral vascular disease annual review
1696211000006112,peripheral vascular disease monitoring administration
1699111000006110,ischaemic foot
1726581000006116,central post-stroke pain
1738171000006114,history of myocardial infarction
1752201000000116,frequency of angina
1773371000006117,cerebrovascular accident care plan
1774801000000114,coronary heart disease care plan
1787251000006117,transient ischaemic attack monitoring
1823891000006113,coronary heart disease confirmed
1823971000006118,peripheral arterial disease confirmed
1856391000006112,coronary heart disease monitoring in primary care
1856401000006114,coronary heart disease monitoring in secondary care
1895641000006114,on coronary heart disease register
2126181000000114,stroke annual review
2127781000000110,stroke initial post discharge review
2173281000000112,h/o acute coronary syndrome
2436731000000112,old cerebral infarction on imaging
2539131000006116,stroke rehabilitation
2571561000006118,pre-infarction syndrome
2634321000006110,embolectomy of femoral artery
2729551000000111,cerebral infarction due to occlusion of cerebral artery
2729571000000119,cerebral infarction due to stenosis of cerebral artery
2729671000000118,acute transmural myocardial infarction
2762941000006113,endarterectomy of femoral artery
2855301000006112,myocardial infarction
2855341000006114,mi - myocardial infarction
2855351000006111,myocardial infarct
2901571000006113,completed stroke
3024781000006112,"past myocardial infarction diagnosed on ecg and/or other special investigation, but currently presenting no symptoms"
3166141000006114,"angina, class ii"
3280921000006115,popliteal artery aneurysm
3371381000006110,cad - coronary artery disease
3371411000006113,chd - coronary heart disease
3371421000006117,coronary heart disease
3381601000006117,acute myocardial infarction of anterior wall
3427201000006111,ami - acute myocardial infarction
3452181000006112,acute myocardial infarction of lateral wall
3458791000006114,anginal chest pain at rest
3459561000006119,acute myocardial infarction of apical-lateral wall
3499001000006116,"angina, class i"
3551171000006114,acute myocardial infarction of high lateral wall
3565871000006113,acute myocardial infarction of inferolateral wall
3576371000006117,postmyocardial infarction syndrome
3641641000006116,acute myocardial infarction of anterolateral wall
3699921000006110,acute inferior myocardial infarction
3719851000006116,cerebellar hemorrhage
3745741000006117,acute myocardial infarction of inferoposterior wall
3807321000006113,embolism of iliac artery
3886751000006118,"angina, class iii"
3919991000006112,prinzmetal angina
3920001000006119,variant angina pectoris
3920011000006116,variant angina
3920021000006112,coronary artery spasm angina
4057041000006110,brain stem stroke
4193641000006111,nonparalytic stroke
4540591000006113,history of transient ischemic attack
4668151000006111,percutaneous embolectomy of femoral artery
4668171000006118,percutaneous embolectomy of popliteal artery
4668191000006117,pc tl embolectomy popliteal artery
4775971000006114,angina
4775981000006112,cardiac angina
4776001000006111,anginal syndrome
4776031000006115,ischaemic heart disease - angina
4776051000006110,single vessel coronary artery disease
4776081000006119,double vessel coronary artery disease
4777861000006119,intracerebral haemorrhage with intraventricular haemorrhage
4777881000006112,"intracerebral haemorrhage, multiple localised"
4778181000006119,left sided cerebral hemisphere cerebrovascular accident
4778201000006118,right sided cerebral hemisphere cerebrovascular accident
5010981000006119,stroke
5011041000006118,anterior cerebral circulation infarction
5011051000006116,total anterior cerebral circulation infarction
5011061000006119,taci - total anterior cerebral circulation infarction
5011071000006114,total anterior cerebral circulation stroke
5011081000006112,tacs - total anterior cerebral circulation stroke
5011091000006110,partial anterior cerebral circulation infarction
5011101000006116,paci - partial anterior cerebral circulation infarction
5011111000006118,partial anterior cerebral circulation stroke
5011121000006114,pacs - partial anterior cerebral circulation stroke
5011131000006112,posterior cerebral circulation infarction
5011141000006119,posterior cerebral circulation stroke
5011191000006111,pure motor lacunar infarction
5011211000006112,pure sensory lacunar infarction
5011291000006119,haemorrhagic cerebral infarction
5011331000006114,anterior cerebral circulation haemorrhagic infarction
5011351000006119,posterior cerebral circulation haemorrhagic infarction
5011451000006114,stroke of uncertain pathology
5011461000006111,anterior circulation stroke of uncertain pathology
5011471000006116,posterior circulation stroke of uncertain pathology
5011491000006115,anterior circulation transient ischaemic attack
5011501000006111,anterior circulation transient ischemic attack
5011521000006118,vertebrobasilar territory transient ischaemic attack
5011541000006113,posterior circulation transient ischemic attack
5011551000006110,posterior circulation transient ischaemic attack
5048911000006115,endarterectomy of common femoral artery
5048921000006111,cfa - endarterectomy of the common femoral artery
5049001000006113,embolectomy of popliteal artery
5049381000006118,embolisation of internal iliac artery
5056201000006111,triple vessel coronary artery disease
5056311000006117,acute q wave infarction - inferior
5056331000006111,acute q wave infarction - inferolateral
5056411000006110,old anterior myocardial infarction
5056421000006119,old inferior myocardial infarction
5056431000006116,old lateral myocardial infarction
5056441000006114,old posterior myocardial infarction
5056461000006113,mi - silent myocardial infarction
5056471000006118,accelerated coronary artery disease in transplanted heart
5126451000006116,ischaemic foot ulcer
5153821000006115,embolectomy of iliac artery
5492201000006111,tia - transient ischaemic attack
5492221000006118,transient ischemic attack
5582311000006110,occipital cerebral infarction
5592751000006111,percutaneous endarterectomy of superficial femoral artery
5649201000006113,extension of cerebrovascular accident
5887611000006117,exercise-induced angina
5887631000006111,exertional angina
5887641000006118,angina of effort
5935321000006111,acute q wave myocardial infarction
5974561000006110,history of treatment for ischaemic heart disease
5994741000006112,stroke unit
6002251000006119,patch repair of femoral artery
6043771000006118,non-q wave myocardial infarction
6053011000006114,refuses chd monitoring
6348291000006115,thrombotic stroke
6348301000006119,embolic stroke
6360351000006112,multi vessel coronary artery disease
6360361000006114,left main coronary artery disease
6360401000006116,recurrent angina after percutaneous transluminal coronary angioplasty
