medcodeid,medcode_term
1940531000006110,CKD G5A1 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A1
1940541000006117,CKD G5A2 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A2
1940551000006115,CKD G5A3 - chronic kidney disease with glomerular filtration rate category G5 and albuminuria category A3
2189151000000117,Urological complication of renal transplant
2191221000000118,Vascular complication of renal transplant
2195121000000113,Ruptured aneurysm of dialysis vascular access
2195661000000114,Aneurysm of dialysis arteriovenous fistula
2195721000000112,Aneurysm of needle site of dialysis arteriovenous fistula
2197961000000113,Rupture of artery of transplanted kidney
2198001000000111,Rupture of vein of transplanted kidney
2198141000000110,Stenosis of vein of transplanted kidney
2209021000000112,Aneurysm of vein of transplanted kidney
2209101000000119,Aneurysm of artery of transplanted kidney
2210341000000113,Stenosis of dialysis vascular access
2210381000000117,Thrombosis of dialysis vascular access
2211311000000117,Haemodialysis first use syndrome
2211591000000116,Thrombus in peritoneal dialysis catheter
2211671000000119,Anaphylactoid reaction due to haemodialysis
2232261000000110,Aneurysm of dialysis vascular access
2234541000000115,Thrombosis of artery of transplanted kidney
2237821000000118,Occlusion of dialysis vascular access
2237861000000114,Infection of dialysis vascular access
2237901000000119,Haemorrhage of dialysis vascular access
2237941000000116,Rupture of dialysis vascular access
2237981000000112,Stenosis of dialysis arteriovenous graft
2238021000000114,Stenosis of dialysis arteriovenous shunt
2238261000000112,Thrombosis of dialysis arteriovenous graft
2238301000000119,Thrombosis of dialysis arteriovenous fistula
2238341000000116,Thrombosis of dialysis arteriovenous shunt
2238381000000112,Occlusion of dialysis arteriovenous graft
2238421000000115,Occlusion of dialysis arteriovenous fistula
2240321000000114,Infection of dialysis arteriovenous graft
2240741000000115,Infection of dialysis arteriovenous shunt
2240831000000118,Haemorrhage of dialysis arteriovenous graft
2240871000000116,Haemorrhage of dialysis arteriovenous fistula
2240911000000119,Haemorrhage of dialysis arteriovenous shunt
2240951000000115,Rupture of dialysis arteriovenous graft
2240991000000111,Rupture of dialysis arteriovenous fistula
2241031000000116,Rupture of dialysis arteriovenous shunt
2253631000000110,Stenosis of arterial side of dialysis arteriovenous shunt
2253671000000112,Stenosis of venous side of dialysis arteriovenous shunt
