medcodeid,dm_term,dm_type
771491000006110,Insulin-dependent diabetes mellitus with ophthalmic comps,NOS
771501000006119,Insulin-dependent diabetes mellitus with renal complications,NOS
772131000006111,Insulin dependent diab mell with neuropathic arthropathy,NOS
772141000006118,Insulin dependent diab mell with peripheral angiopathy,NOS
772151000006116,Insulin dependent diabetes maturity onset,NOS
772161000006119,Insulin dependent diabetes mellitus,NOS
772171000006114,Insulin dependent diabetes mellitus,NOS
772181000006112,Insulin dependent diabetes mellitus - poor control,NOS
777231000006119,Injection sites - diabetic,NOS
787101000006114,IDDM with peripheral circulatory disorder,NOS
787111000006112,IDDM-Insulin dependent diabetes mellitus,NOS
840951000006119,Insulin treated Type 2 diabetes mellitus,NOS
840971000006112,Diabetes mellitus autosomal dominant type 2,NOS
841011000006112,High risk non proliferative diabetic retinopathy,NOS
841351000006110,Insulin treated Type II diabetes mellitus,NOS
845341000006111,Diabetes: shared care in pregnancy - diabetol and obstet,NOS
850691000006118,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,NOS
851051000006110,Ins-treat non-ins-dep diab mel,NOS
856531000006119,Diabetic - GP eye check,NOS
856551000006114,Diabetic - hospital eye check,NOS
856561000006111,Diabetic foot risk assessment,NOS
856611000006114,Laser treated diabetic retinopathy,NOS
856621000006118,Left proliferative diabetic retinopathy,NOS
856631000006115,Left laser treated diabetic retinopathy,NOS
856641000006113,Left diabetic maculopathy,NOS
856651000006110,Left advanced diabetic retinal disease,NOS
856661000006112,Left diabetic foot active ulceration,NOS
856671000006117,Left diabetic foot high risk,NOS
856681000006119,Left diabetic foot moderate risk,NOS
856691000006116,Left diabetic foot low current risk,NOS
856771000006110,Patient has been told has diabetes,NOS
857031000006113,Left non-proliferative diabetic retinopathy,NOS
857051000006118,Left preproliferative diabetic retinopathy,NOS
857411000006110,Right proliferative diabetic retinopathy,NOS
857421000006119,Right laser treated diabetic retinopathy,NOS
857431000006116,Right diabetic maculopathy,NOS
857441000006114,Right advanced diabetic retinal disease,NOS
857691000006119,Right diabetic foot active ulceration,NOS
857721000006112,Right diabetic foot high risk,NOS
857741000006117,Right diabetic foot moderate risk,NOS
857761000006118,Right diabetic foot low current risk,NOS
857971000006110,Right non-proliferative diabetic retinopathy,NOS
857981000006113,Right preproliferative diabetic retinopathy,NOS
881441000006111,Diabetes mellitus - juvenile,NOS
881451000006113,Diabetes mellitus -adult onset,NOS
881461000006110,Diabetes+ketoacidosis -no coma,NOS
881471000006115,Diabetes with coma,NOS
881481000006117,Diabetes + nephropathy,NOS
881491000006119,Diabetes + eye manifestation,NOS
881501000006110,Diabetes + neuropathy,NOS
881511000006113,Diabetes + periph.circulat.dis,NOS
881521000006117,Diabetes + other complications,NOS
902201000006112,Reaction: insulin/antidiabetic,NOS
905621000006113,[RFC] Diabetes,NOS
906711000006116,[RFC] Diabetic foot/leg ulcer,NOS
908831000006118,[RFC] Diabetes mellitus,NOS
910211000006114,[RFC] Diabetic health promotion,NOS
910491000006117,[RFC] Diabetic leg ulcer,NOS
910501000006113,[RFC] Diabetic foot ulcer,NOS
913441000006119,Insulin-dependent diabetes mellitus with renal complications,NOS
913451000006117,Type 1 diabetes mellitus with renal complications,NOS
913461000006115,Type I diabetes mellitus with renal complications,NOS
913471000006110,Insulin-dependent diabetes mellitus with ophthalmic comps,NOS
913481000006113,Type 1 diabetes mellitus with ophthalmic complications,NOS
913491000006111,Type I diabetes mellitus with ophthalmic complications,NOS
913501000006115,Insulin-dependent diabetes mellitus with neurological comps,NOS
913511000006117,Type 1 diabetes mellitus with neurological complications,NOS
913521000006113,Type I diabetes mellitus with neurological complications,NOS
913531000006111,Insulin dependent diabetes mellitus with multiple complicat,NOS
913541000006118,Type 1 diabetes mellitus with multiple complications,NOS
913551000006116,Type I diabetes mellitus with multiple complications,NOS
913591000006110,Insulin dependent diabetes mellitus with ulcer,NOS
913621000006112,Insulin dependent diabetes mellitus with gangrene,NOS
913651000006115,Insulin dependent diabetes mellitus with retinopathy,NOS
913661000006118,Type 1 diabetes mellitus with retinopathy,NOS
913671000006113,Type I diabetes mellitus with retinopathy,NOS
913681000006111,Insulin dependent diabetes mellitus - poor control,NOS
913711000006112,Insulin dependent diabetes maturity onset,NOS
913771000006115,Insulin dependent diabetes mellitus with mononeuropathy,NOS
913781000006117,Type 1 diabetes mellitus with mononeuropathy,NOS
913791000006119,Type I diabetes mellitus with mononeuropathy,NOS
913801000006118,Insulin dependent diabetes mellitus with polyneuropathy,NOS
913811000006115,Type 1 diabetes mellitus with polyneuropathy,NOS
913821000006111,Type I diabetes mellitus with polyneuropathy,NOS
913831000006114,Insulin dependent diabetes mellitus with nephropathy,NOS
913841000006116,Type 1 diabetes mellitus with nephropathy,NOS
913851000006119,Type I diabetes mellitus with nephropathy,NOS
913891000006113,Insulin dependent diabetes mellitus with diabetic cataract,NOS
913901000006112,Type 1 diabetes mellitus with diabetic cataract,NOS
913911000006110,Type I diabetes mellitus with diabetic cataract,NOS
913921000006119,Insulin dependent diab mell with peripheral angiopathy,NOS
913931000006116,Type 1 diabetes mellitus with peripheral angiopathy,NOS
913941000006114,Type I diabetes mellitus with peripheral angiopathy,NOS
913981000006115,Insulin dependent diab mell with neuropathic arthropathy,NOS
914031000006118,Type 2 diabetes mellitus with renal complications,NOS
914041000006111,Type II diabetes mellitus with renal complications,NOS
914051000006113,Type 2 diabetes mellitus with ophthalmic complications,NOS
914061000006110,Type II diabetes mellitus with ophthalmic complications,NOS
914071000006115,Type 2 diabetes mellitus with neurological complications,NOS
914081000006117,Type II diabetes mellitus with neurological complications,NOS
914151000006112,Type 2 diabetes mellitus with retinopathy,NOS
914161000006114,Type II diabetes mellitus with retinopathy,NOS
914221000006113,Type 2 diabetes mellitus with mononeuropathy,NOS
914231000006111,Type II diabetes mellitus with mononeuropathy,NOS
914241000006118,Type 2 diabetes mellitus with polyneuropathy,NOS
914251000006116,Type II diabetes mellitus with polyneuropathy,NOS
914261000006119,Type 2 diabetes mellitus with nephropathy,NOS
914271000006114,Type II diabetes mellitus with nephropathy,NOS
914301000006111,Type 2 diabetes mellitus with diabetic cataract,NOS
914311000006114,Type II diabetes mellitus with diabetic cataract,NOS
914391000006116,Insulin treated Type 2 diabetes mellitus,NOS
918281000006116,Pt advised re diabetic diet,NOS
928461000006119,Type 1 diabetes mellitus with persistent proteinuria,NOS
928471000006114,Type I diabetes mellitus with persistent proteinuria,NOS
928491000006110,Type I diabetes mellitus with persistent microalbuminuria,NOS
928501000006119,Type 1 diabetes mellitus with ketoacidosis,NOS
928511000006116,Type I diabetes mellitus with ketoacidosis,NOS
928521000006112,Type 1 diabetes mellitus with ketoacidotic coma,NOS
928531000006110,Type I diabetes mellitus with ketoacidotic coma,NOS
928541000006117,Type 2 diabetes mellitus with persistent proteinuria,NOS
928551000006115,Type II diabetes mellitus with persistent proteinuria,NOS
928561000006118,Type 2 diabetes mellitus with persistent microalbuminuria,NOS
928571000006113,Type II diabetes mellitus with persistent microalbuminuria,NOS
928581000006111,Type 2 diabetes mellitus with ketoacidosis,NOS
928591000006114,Type II diabetes mellitus with ketoacidosis,NOS
928601000006118,Type 2 diabetes mellitus with ketoacidotic coma,NOS
928611000006115,Type II diabetes mellitus with ketoacidotic coma,NOS
931191000006110,Excepted from diabetes qual indicators: Patient unsuitable,NOS
932641000006116,Diabetes with coma,NOS
933211000006112,DM + persist microalbuminuria,NOS
933221000006116,DM + persistent proteinuria,NOS
933231000006118,Hypo states in diabetes,NOS
938301000006114,Type 1 diabetes mellitus with exudative maculopathy,NOS
938311000006112,Type I diabetes mellitus with exudative maculopathy,NOS
938321000006116,Type 2 diabetes mellitus with exudative maculopathy,NOS
938331000006118,Type II diabetes mellitus with exudative maculopathy,NOS
958321000006115,DHDS pilot project outcome - new diagnosis Diabetes,NOS
967631000006115,DM induced by non-steroid drugs without complication,NOS
967701000006116,Lipoatrophic diabetes mellitus,NOS
975251000006111,O/E - right eye stable treated prolif diabetic retinopathy,NOS
975261000006113,O/E - left eye stable treated prolif diabetic retinopathy,NOS
987441000006113,Six month diabetic review,NOS
1065811000000118,Discharged from diabetes shared care programme,NOS
1139821000000110,Unsuitable for diabetes year of care programme,NOS
1139861000000119,Declined consent for diabetes year of care programme,NOS
1162341000000110,Insulin treatment stopped,NOS
1164191000000111,Education in self management of diabetes,NOS
1177721000000112,Diabetic on subcutaneous treatment,NOS
1539131000006115,Referral for diabetic retinopathy screening,NOS
1573121000006119,Insulin started by GP,NOS
1583841000006111,Ineligibility for diabetic eye screening,NOS
1583851000006113,Ineligibility for diab. eye screen: Discharged for other reason,NOS
1583861000006110,Ineligibility for diabetic eye screening: Persistent DNA,NOS
1583871000006115,Ineligibility for diabetic eye screening: No contact details,NOS
1583881000006117,Ineligibility for diab. eye screening: Declined to participate,NOS
1583891000006119,Ineligib for diab. eye screen: No longer categorised as diabetic,NOS
1583901000006115,Ineligibility for diab. eye screen: Blind (screening contraind),NOS
1583911000006117,Ineligibility for diabetic eye screening: Under ophthalmic care,NOS
1583921000006113,Ineligibility for diabetic eye screening: Deceased,NOS
1583931000006111,Ineligibility for diabetic eye screening: Moved away,NOS
1621011000006115,No evidence of diabetic peripheral neuropathy,NOS
1627291000006113,Did not complete DESMOND diabetes structured educat program,NOS
1628311000006111,Did not complete XPERT diabetes structured education program,NOS
1628621000006112,Did not attend DESMOND diabetes structured education program,NOS
1628691000006114,Seen by general practitioner special interest in diabetes,NOS
1658821000000117,Diabetic dietary review,NOS
1658861000000113,Type I diabetic dietary review,NOS
1658901000000118,Type II diabetic dietary review,NOS
1658941000000115,Diabetic dietary review declined,NOS
1665721000000112,Type 2 diabetic dietary review,NOS
1665751000000119,Type 1 diabetic dietary review,NOS
1666911000000113,O/E - Left diabetic foot at increased risk,NOS
1666931000000117,O/E - Right diabetic foot at increased risk,NOS
1667891000000113,Hyperosmolar non-ketotic state in type II diabetes mellitus,NOS
1667921000000117,Type II diabetes mellitus with gastroparesis,NOS
1667941000000112,Type I diabetes mellitus with gastroparesis,NOS
1673581000006117,Ineligibility for diabetic eye screening: Physical disability,NOS
1673591000006119,Ineligib for diab. eye screening: Learning or mental disability,NOS
1673601000006110,Ineligibility for diabetic eye screening: Terminal illness,NOS
1682711000006119,Declined referral to DESMOND diabet. structured educat programme,NOS
1682761000006116,Advice given about insulin storage,NOS
1682801000006113,Diabetic sick day rules advice,NOS
1690631000000113,Did not attend diabetes foot screening,NOS
1694761000006113,Newly diagnosed diabetes,NOS
1694811000006118,Insulin administration education,NOS
1696331000006114,Diabetic dermopathy,NOS
1704651000006111,Diabetic retinopathy screening administrative status,NOS
1704681000006115,Eligibility temporarily inactive for diabetic retinop screen,NOS
1704691000006117,Eligibility permanently inactive for diabetic retinop screen,NOS
1704731000006113,Excluded diabetc retinop screen as under care ophthalmolgist,NOS
1704771000006111,Excluded frm diab retinop screen as no currnt contct details,NOS
1704781000006114,Excluded frm diabetic retinopathy screen as terminal illness,NOS
1704791000006112,Excluded from diabetic retinopthy screen as learn disability,NOS
1704801000006113,Excluded from diabetic retinopathy screen physical disorder,NOS
1713231000006118,QDiabetes (QDScore) type 2 diabetes 10 year risk,NOS
1713371000006112,Diabetic medicine,NOS
1724331000006117,Insulin treatment stopped,NOS
1732691000000113,Insulin dose,NOS
1734281000000117,Diabetic erectile dysfunction review,NOS
1734721000000114,Diabetic assessment of erectile dysfunction,NOS
1744461000006117,Self-administration of insulin,NOS
1744471000006112,Needs carer to administer insulin,NOS
1752811000000118,No evidence of diabetic nephropathy,NOS
1754911000006114,Excepted from diabetes qual indicators: service unavailable,NOS
1755441000006119,Diabetes monitor invitation by SMS (short message service),NOS
1759911000000118,Diabetes care plan declined,NOS
1763361000006116,Participant in ASCEND(A Study of Cardiovascu.Events in Diabetes),NOS
1763421000006116,Insulin dose,NOS
1763761000006115,No evidence of diabetic nephropathy,NOS
1767201000006118,Pre-conception advice for diabetes mellitus,NOS
1773381000006119,Seen in in-house nurse-led diabetic clinic,NOS
1775381000006118,Referred to Diabetes Service,NOS
1776581000006117,Reason for referral: Diabetes,NOS
1780981000006115,Diabetic on non-insulin injectable,NOS
1783381000006112,Insulin alert pat information booklet information discussed,NOS
1784011000006116,Advised to maintain back up supply insulin subcut injection,NOS
1784711000006118,Prof judgemnt not to engage pt wt insulin alert requirements,NOS
1788071000006115,Insulin passport checked,NOS
1799241000000115,Insulin alert patient information booklet given,NOS
1799301000000112,Insulin passport given,NOS
1799541000000117,Insulin passport completed,NOS
1799591000000110,Informed dissent not to carry insulin passport,NOS
1804191000006114,Diabetic retinopathy screen done by optician,NOS
1822191000006112,Diabetes pathway protocol not followed,NOS
1822391000006114,Date other antidiabetic drug started,NOS
1823921000006119,Diabetes mellitus confirmed,NOS
1824081000006117,Diabetes clinical pathway protocol followed,NOS
1824641000006115,Advised about diabetes and driving,NOS
1824931000006119,Home visit for diabetes monitoring,NOS
1839671000006113,Diabetic short review,NOS
1841451000006115,Diabetic foot screening invitation,NOS
1841461000006118,Diabetic foot screening invitation letter,NOS
1841471000006113,Diabetic foot screening invitation first letter,NOS
1841481000006111,Diabetic foot screening invitation second letter,NOS
1841491000006114,Diabetic foot screening invitation third letter,NOS
1842001000006118,Diabetic annual review by practice nurse,NOS
1850931000006111,Reason for influenza vaccine - diabetes mellitus,NOS
1853141000006111,In-house diabetes foot screening,NOS
1853151000006113,In-house diabetes foot screen first appointment,NOS
1853161000006110,In-house diabetes foot screen follow-up appointment,NOS
1853171000006115,In-house diabetes foot screen discharge,NOS
1854821000006113,Diabetes year of care annual review,NOS
1855341000006113,Conversion to insulin by hospital,NOS
1855351000006110,Conversion to insulin by diabetic specialist nurse,NOS
1856641000006113,Diabetes monitoring in primary care,NOS
1856651000006110,Diabetes monitoring in secondary care,NOS
1856661000006112,Diabetes treatment type,NOS
1858811000006114,AURAS-AF - consider the patient to have diabetes,NOS
1859611000006117,Diabetic - eye check,NOS
1861701000006118,Insulin passport not checked,NOS
1868141000006110,Referral to DAFNE diabetes structured educn prog declined,NOS
1873301000006114,Care contact service: diabetes,NOS
1876341000006117,Diabetic 3 month review,NOS
1877371000006111,Diabetes clinical management plan no longer in place,NOS
1884591000006118,Further diabetic monitoring,NOS
1891061000006117,Participant in Diabetes Aerobic and Resistance Exercise study,NOS
1916521000006118,Access to online patient diabetes education given,NOS
1918361000006116,Diabetes care planning test results sent to patient,NOS
1920661000006119,Unsuitable for DESMOND diabetes structured education programme,NOS
1932051000006114,3D study - problems with diabetes management,NOS
1935341000006117,Patient in diabetes study,NOS
1946681000006112,Provision of written information about diabetes & hypertensn,NOS
1946691000006110,Provision of written information about diabetes and high BP,NOS
1946701000006110,Provision written information abt diabetes & high HbA1c levl,NOS
1946711000006113,Provsn written information about diabetes & high cholesterol,NOS
1947151000006112,Joint consultn pracse nurse & comm diabetes specialist nurse,NOS
1947161000006114,Joint consultation GP & community diabetes specialist nurse,NOS
1954041000006119,Diabetic - uses carbohydrate counting,NOS
1955171000006110,Keele ENHANCE trial - diabetic review,NOS
1957911000006111,H/O: hypoglycaemic event in diabetes,NOS
1957931000006117,No H/O hypoglycaemic event in diabetes,NOS
1960611000006113,Diabetic foot examination - action required,NOS
1960621000006117,Diabetic foot examination - no action required,NOS
1966311000006116,Diabetic on oral treatment and glucagon-like peptide 1,NOS
1966321000006112,Diabetic on insulin and glucagon-like peptide 1,NOS
1966441000006113,Recommendation self-refer for diabetes structured education,NOS
1984081000006115,Manchester triage - Diabetes,NOS
1987971000006114,X-PERT First Steps diabetes self-management programme complt,NOS
1988741000006117,Pre-existing type 2 diabetes mellitus in pregnancy,NOS
1996751000006117,Insulin injection technique checked,NOS
2014951000006115,New diabetic foot ulcer,NOS
2115761000000117,Diabetes self-management plan review,NOS
2116661000000116,Referral to community diabetes service,NOS
2117891000000114,Diabetes self-management plan agreed,NOS
2139121000000115,Insulin passport checked,NOS
2156571000000116,Provision of diabetes clinical summary,NOS
2168881000000114,Subcutaneous infusion with insulin pump,NOS
2176771000000110,Referral to community diabetes specialist nurse declined,NOS
2182651000000118,Referral to community diabetes clinic,NOS
2205911000000116,Diabetes clinical pathway,NOS
2220161000000117,Provision of written information about diabetes and driving,NOS
2227781000000112,Diabetic foot screening invitation,NOS
2227861000000112,Diabetic foot screening invitation first letter,NOS
2227981000000110,Diabetic foot screening invitation second letter,NOS
2230301000000116,Diabetic foot screening invitation third letter,NOS
2243331000000115,Erectile dysfunction due to diabetes mellitus,NOS
2249831000000111,In-house diabetic foot screening,NOS
2249871000000113,In-house diabetic foot screening first appointment,NOS
2249951000000114,In-house diabetic foot screening follow-up appointment,NOS
2249991000000118,Discharge from in-house diabetic foot screening,NOS
2262341000000113,Conversion to insulin in secondary care,NOS
2262381000000117,Conversion to insulin by diabetes specialist nurse,NOS
2265851000000114,Insulin passport not checked,NOS
2279261000000115,Education about diabetes and driving,NOS
2279291000000114,Advice about diabetes and driving,NOS
2283241000000113,Diabetes structured education programme not available,NOS
2287311000000111,Diabetes Year of Care annual review,NOS
2287971000000119,Diabetes mellitus in remission,NOS
2288011000000114,Type I diabetes mellitus in remission,NOS
2288041000000110,Type 1 diabetes mellitus in remission,NOS
2288061000000111,Type II diabetes mellitus in remission,NOS
2288071000000116,Type 2 diabetes mellitus in remission,NOS
2337941000000112,Diabetes Distress Scale 2 item,NOS
2338051000000112,Diabetes Distress Scale 17 item,NOS
2359401000000111,Conversion to non-insulin injectable medication,NOS
2368911000000117,Diabetic foot care education,NOS
2369111000000112,Lifestyle education for diabetes,NOS
2378231000000112,Discharge from secondary care diabetes service,NOS
2380481000000115,Enquiry about diabetic erectile dysfunction declined,NOS
2415191000000113,Diabetic peripheral neuropathic pain,NOS
2460251000000115,Diabetic on non-insulin injectable medication,NOS
2460621000000111,Provision of diabetes identity card,NOS
2461101000000116,Has diabetes identity card,NOS
2465001000000115,Diabetic injection administration education,NOS
2493341000000118,Young Townson FootSkin Scale for Diabetic Neuropathy,NOS
2500921000000110,Diabetic carbohydrate counting diet,NOS
2576431000006117,DR - Diabetic retinopathy,NOS
2586611000000113,Seen by diabetes specialist nurse,NOS
2586691000000116,Under care of hospital-based diabetes specialist nurse,NOS
2586731000000110,Under care of community-based diabetes specialist nurse,NOS
2649991000006110,Latent diabetes,NOS
2650001000006110,Chemical diabetes,NOS
2683561000006119,Brittle diabetes mellitus,NOS
2683581000006112,Labile diabetes,NOS
2683591000006110,Unstable diabetes mellitus,NOS
2900941000006117,Ophthalmic manifestations of diabetes,NOS
2900951000006115,Diabetic eye disease,NOS
2906401000006113,Diabetic retinal microaneurysm,NOS
2920961000006110,Diabetic coma with ketoacidosis,NOS
2920971000006115,Diabetic acidosis with coma,NOS
2920981000006117,Diabetic coma,NOS
3128741000006119,Diabetic lumbosacral radiculoplexus neuropathy,NOS
3209431000006116,Diabetes mellitus type II,NOS
3209441000006114,Diabetes mellitus type 2,NOS
3253231000006110,Diabetes mellitus type I,NOS
3253241000006117,Diabetes mellitus type 1,NOS
3286521000006111,Drug resistance to insulin,NOS
3319861000006118,Diabetic autonomic neuropathy,NOS
3511581000006114,Pretibial pigmental patches in diabetes,NOS
3690681000006114,DM - Diabetes mellitus,NOS
3712861000006110,Disorder associated with diabetes mellitus,NOS
4392181000006110,Renal disorder associated with diabetes mellitus,NOS
4392201000006111,Diabetic peripheral vascular disease,NOS
4392211000006114,Diabetes with peripheral circulatory disorder,NOS
4392221000006118,Peripheral angiopathy due to diabetes mellitus,NOS
4534311000006116,DD - Diabetic diet,NOS
4539551000006112,Pre-existing diabetes mellitus,NOS
4539561000006114,History of diabetes mellitus,NOS
4542241000006119,History of insulin therapy,NOS
4595261000006118,Haemoglobin A1c less than 7% indicating good diabetic control,NOS
4595291000006114,Hemoglobin A1c (HbA1c) less than 7% indicating good diabetic control,NOS
4595301000006110,Haemoglobin A1c (HbA1c) less than 7% indicating good diabetic control,NOS
4595331000006119,Hemoglobin A1c between 7%-10% indicating borderline diabetic control,NOS
4595341000006112,Hemoglobin A1c (HbA1c) between 7%-10% indicating borderline diabetic control,NOS
4595351000006114,Haemoglobin A1c (HbA1c) between 7%-10% indicating borderline diabetic control,NOS
4595381000006118,Haemoglobin A1c (HbA1c) greater than 10% indicating poor diabetic control,NOS
4595391000006115,Hemoglobin A1c greater than 10% indicating poor diabetic control,NOS
4595401000006118,Hemoglobin A1c (HbA1c) greater than 10% indicating poor diabetic control,NOS
4600881000006113,Glucose tolerance test indicates diabetes mellitus,NOS
4636411000006110,Diet controlled diabetes mellitus,NOS
4636471000006118,Has seen dietitian - diabetes,NOS
4636691000006119,Diabetes: practice program,NOS
4636711000006116,Diabetes: shared care program,NOS
4717371000006113,Diabetic stabilization,NOS
4723641000006110,Diabetic emergency hospital admission,NOS
4726201000006118,Diabetology domiciliary visit requested,NOS
4726801000006119,Diabetology domiciliary visit done,NOS
4727351000006110,Listed for Diabetology admission,NOS
4757991000006116,Type 1 diabetes mellitus with hyperosmolar coma,NOS
4758011000006112,Type 2 diabetes mellitus with hyperosmolar coma,NOS
4758061000006110,Insulin-dependent diabetes mellitus with ulcer,NOS
4758121000006115,Insulin-dependent diabetes maturity onset,NOS
4771421000006116,PPDR - Preproliferative diabetic retinopathy,NOS
4788421000006117,Nephrotic syndrome due to diabetes mellitus,NOS
4796321000006113,Pre-existing type 2 diabetes mellitus,NOS
4807571000006117,Ischemic ulcer diabetic foot,NOS
4808881000006117,Diabetic hand syndrome,NOS
4808891000006119,Diabetic cheirarthropathy,NOS
4808921000006113,Diabetic neuropathic arthropathy,NOS
4868691000006117,Poisoning by antidiabetic agent,NOS
4868711000006119,Poisoning caused by antidiabetic agent,NOS
5109461000006115,Diabetes type 2 on insulin,NOS
5109901000006112,Diabetic severe hyperglycemia,NOS
5110001000006118,Pregnancy and type 2 diabetes mellitus,NOS
5110071000006112,Hypoglycaemic event in diabetes,NOS
5110081000006110,Hypoglycemic event in diabetes,NOS
5110461000006114,Insulin resistance - type A,NOS
5192411000006114,Diabetic monitoring status,NOS
5505651000006113,Diabetes mellitus uncontrolled,NOS
5513671000006116,Hemoglobin A1C - diabetic control interpretation,NOS
5549791000006118,DWBQ - Diabetes wellbeing questionnaire,NOS
5634901000006116,Diabetic foot,NOS
5754581000006110,Brittle type 1 diabetes mellitus,NOS
5754611000006119,Brittle type I diabetes mellitus,NOS
5754621000006110,Labile type I diabetes mellitus,NOS
5975301000006115,On examination - Right diabetic foot at risk,NOS
5975321000006113,On examination - Left diabetic foot at risk,NOS
5990991000006114,History of admission in last year for diabetes foot problem,NOS
6022721000006112,Proliferative diabetic retinopathy - high risk,NOS
6022921000006114,Diabetic macular oedema,NOS
6022931000006112,Diabetic macular edema,NOS
6030001000006116,Insulin-dependent diabetes without complication,NOS
6050041000006115,Insulin dependent diabetes mellitus with hypoglycaemic coma,NOS
6050061000006116,Type I diabetes mellitus with hypoglycemic coma,NOS
6050071000006111,Insulin dependent diabetes mellitus with hypoglycemic coma,NOS
6050081000006114,Type 1 diabetes mellitus with hypoglycemic coma,NOS
6051171000006117,Insulin dependent diabetes mellitus with arthropathy,NOS
6056601000006112,DIGAMI - diabetes mellitus insulin-glucose infusion in acute myocardial infarction,NOS
6280411000006114,Hemoglobin A1C - diabetic control finding,NOS
6443831000006118,Teach insulin injection,NOS
6444071000006112,Diabetic care education,NOS
6444081000006110,Teach diabetic care,NOS
6515171000006112,Nonproliferative diabetic retinopathy,NOS
6515201000006111,NPDR - Non proliferative diabetic retinopathy,NOS
6515211000006114,BDR - Background diabetic retinopathy,NOS
6515391000006110,On examination - no right diabetic retinopathy,NOS
6515431000006116,On examination - no left diabetic retinopathy,NOS
6515451000006111,On examination - diabetic maculopathy present both eyes,NOS
6515471000006118,On examination - diabetic maculopathy absent both eyes,NOS
6516331000006118,DNA - Did not attend diabetic clinic,NOS
6546241000006111,On examination - Right diabetic foot at low risk,NOS
6546261000006110,On examination - Right diabetic foot at high risk,NOS
6546281000006117,On examination - Right diabetic foot - ulcerated,NOS
6546301000006118,On examination - Left diabetic foot - ulcerated,NOS
6546321000006111,On examination - Left diabetic foot at low risk,NOS
6546341000006116,On examination - Left diabetic foot at high risk,NOS
6546411000006113,On examination - Left diabetic foot at moderate risk,NOS
6546431000006119,On examination - Right diabetic foot at moderate risk,NOS
6630591000006111,Diabetic retinal venous beading,NOS
6761781000006114,On examination - right eye background diabetic retinopathy,NOS
6761801000006113,On examination - left eye background diabetic retinopathy,NOS
6761821000006115,On examination - right eye preproliferative diabetic retinopathy,NOS
6761841000006110,On examination - left eye preproliferative diabetic retinopathy,NOS
6761861000006114,On examination - right eye proliferative diabetic retinopathy,NOS
6761881000006116,On examination - left eye proliferative diabetic retinopathy,NOS
6837961000006116,Panretinal photocoagulation for diabetes,NOS
6843971000006117,Attended diabetes structured education program,NOS
6866421000006113,On examination - left chronic diabetic foot ulcer,NOS
6866541000006117,On examination - left eye stable treated proliferative diabetic retinopathy,NOS
6866781000006116,On examination - right chronic diabetic foot ulcer,NOS
6866901000006111,On examination - right eye stable treated proliferative diabetic retinopathy,NOS
6872971000006112,Referral to diabetes preconception counseling clinic,NOS
6872991000006113,Referral to diabetes structured education program,NOS
6910411000006112,On examination - sight threatening diabetic retinopathy,NOS
6951081000006112,Ketoacidosis in type I diabetes mellitus,NOS
6951091000006110,Diabetes type 1 with ketoacidosis,NOS
6951281000006117,Kidney disorder associated with type 2 diabetes mellitus,NOS
6953861000006110,Diabetic ketoacidosis,NOS
6953871000006115,Ketoacidosis in diabetes mellitus,NOS
6953891000006119,Diabetic acidosis,NOS
6953901000006115,DKA - diabetic ketoacidosis,NOS
6954121000006112,Mononeuropathy associated with type II diabetes mellitus,NOS
6954991000006112,Exudative maculopathy associated with type I diabetes mellitus,NOS
6955501000006113,Persistent proteinuria associated with type I diabetes mellitus,NOS
6959091000006114,Persistent microalbuminuria associated with type II diabetes mellitus,NOS
6959801000006112,Diabetic cataract associated with type II diabetes mellitus,NOS
6959811000006110,Diabetes type 2 with cataract,NOS
6960431000006119,Diabetic retinopathy associated with type I diabetes mellitus,NOS
6960441000006112,Diabetes type 1 with retinopathy,NOS
6961081000006118,Gangrene associated with type 1 diabetes mellitus,NOS
6961091000006115,Gangrene associated with type I diabetes mellitus,NOS
6961101000006114,Diabetes type 1 with gangrene,NOS
6961901000006111,Disorder associated with type I diabetes mellitus,NOS
6962751000006117,Mononeuropathy associated with type I diabetes mellitus,NOS
6965561000006116,Ketoacidotic coma in type I diabetes mellitus,NOS
6965571000006111,Diabetes mellitus type 1 with ketoacidotic coma,NOS
6969921000006119,Neurologic disorder associated with type II diabetes mellitus,NOS
6969931000006116,Diabetes type 2 with neurological disorder,NOS
6970621000006114,Peripheral circulatory disorder associated with type 1 diabetes mellitus,NOS
6970631000006112,Peripheral circulatory disorder associated with type I diabetes mellitus,NOS
6972441000006117,Neurological disorder associated with type I diabetes mellitus,NOS
6972451000006115,Diabetes type 1 with neurological disorder,NOS
6975211000006112,Gangrene associated with type 2 diabetes mellitus,NOS
6975221000006116,Gangrene associated with type II diabetes mellitus,NOS
6977421000006110,Ketoacidosis in type II diabetes mellitus,NOS
6977431000006113,Diabetes type 2 with ketoacidosis,NOS
6977971000006119,Exudative maculopathy associated with type II diabetes mellitus,NOS
6979251000006110,Diabetes mellitus type 2 with ketoacidotic coma,NOS
6979991000006111,Renal disorder associated with type I diabetes mellitus,NOS
6980001000006117,Kidney disorder associated with type 1 diabetes mellitus,NOS
6980041000006115,Diabetic peripheral circulatory disorder,NOS
6980431000006116,Diabetic cataract associated with type I diabetes mellitus,NOS
6980441000006114,Diabetes type 1 with cataract,NOS
6981271000006112,Non-ketotic non-hyperosmolar coma associated with diabetes mellitus,NOS
