medcodeid,dm_term,dm_type
354509014,Proteinuric diabetic nephropathy,NOS
356085010,Maturity onset diabetes in youth type 2,NOS
356110010,"Megaloblastic anaemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness",NOS
356119011,Abnormal metabolic state in diabetes mellitus,NOS
356121018,Diabetic severe hyperglycaemia,NOS
358035014,Insulin lipohypertrophy,NOS
358036010,Insulin site lipohypertrophy,NOS
399419012,Myasthenic syndrome due to diabetic amyotrophy,NOS
401531012,Diabetic - poor control,NOS
404444016,Hb. A1C - diabetic control,NOS
405057014,Diabetes monitored,NOS
408811014,Diabetes treatment satisfaction questionnaire,NOS
411891014,Unstable diabetes,NOS
429970018,Unstable type I diabetes mellitus,Type 1
429971019,Unstable type 1 diabetes mellitus,Type 1
429972014,Unstable insulin dependent diabetes mellitus,NOS
448261010,Seen by diabetic liaison nurse,NOS
449540010,Discharge by diabetic liaison nurse,NOS
451410016,O/E - Right diabetic foot at risk,NOS
451411017,O/E - Left diabetic foot at risk,NOS
452078013,Subcutaneous injection of insulin,NOS
453050019,Education score - diabetes,NOS
453100011,H/O: Admission in last year for diabetes foot problem,NOS
453910015,HbA1 - diabetic control,NOS
454092018,Diabetic hyperosmolar non-ketotic state,NOS
454093011,HONKS - Diabetic hyperosmolar non-ketotic state,NOS
455408014,Advanced diabetic retinal disease,NOS
456646018,Referral to diabetes nurse,NOS
456686014,Attending diabetes clinic,NOS
457156014,[V]Admitted for conversion to insulin,NOS
457157017,[V]Admitted for commencement of insulin,NOS
457231013,Seen in diabetic eye clinic,NOS
457325013,Type I diabetes mellitus without complication,Type 1
457326014,Type 1 diabetes mellitus without complication,Type 1
457327017,Insulin-dependent diabetes without complication,NOS
457328010,Non-insulin-dependent diabetes mellitus without complication,Type 2
457329019,Type 2 diabetes mellitus without complication,Type 2
457330012,Type II diabetes mellitus without complication,Type 2
458512016,Diabetic on insulin and oral treatment,NOS
459161015,Type 1 diabetes mellitus with hypoglycaemic coma,Type 1
459162010,Insulin dependent diabetes mellitus with hypoglycaemic coma,Type 1
459163017,Type I diabetes mellitus with hypoglycaemic coma,Type 1
459167016,Type 2 diabetes mellitus with hypoglycaemic coma,Type 2
459169018,Type II diabetes mellitus with hypoglycaemic coma,Type 2
459292011,Type 1 diabetes mellitus with arthropathy,Type 1
459293018,Insulin dependent diabetes mellitus with arthropathy,Type 1
459294012,Type I diabetes mellitus with arthropathy,Type 1
459295013,Type I diabetes mellitus with neuropathic arthropathy,Type 1
459296014,Type 1 diabetes mellitus with neuropathic arthropathy,Type 1
459306016,Type II diabetes mellitus with peripheral angiopathy,Type 2
459308015,Type 2 diabetes mellitus with peripheral angiopathy,Type 2
459309011,Non-insulin dependent diabetes mellitus with arthropathy,Type 2
459310018,Type 2 diabetes mellitus with arthropathy,Type 2
459311019,Type II diabetes mellitus with arthropathy,Type 2
459312014,Type II diabetes mellitus with neuropathic arthropathy,Type 2
459313016,Type 2 diabetes mellitus with neuropathic arthropathy,Type 2
459520010,Diabetes resolved,NOS
459694018,Diabetic lipid lowering diet,NOS
459695017,Diabetic weight reducing diet,NOS
459705019,Diabetes mellitus excluded,NOS
483882011,Diabetes mellitus autosomal dominant,NOS
483886014,Maturity onset diabetes in youth,NOS
493773010,NIDDM - Non-insulin dependent diabetes mellitus,Type 2
493774016,Type II diabetes mellitus,Type 2
494564012,Type I diabetes mellitus,Type 1
1222099015,Insulin poisoning,NOS
1223147012,Insulin treated Type II diabetes mellitus,Type 2
1223148019,Insulin treated non-insulin dependent diabetes mellitus,Type 2
1227774019,[V]Dietary counselling in diabetes mellitus,NOS
1230890017,Autonomic neuropathy due to diabetes,NOS
1230929011,Secondary pancreatic diabetes mellitus,NOS
1479985016,Insulin administration education,NOS
1484867016,Non proliferative diabetic retinopathy,NOS
1484875010,Seen by diabetologist,NOS
1484883016,O/E - no right diabetic retinopathy,NOS
1484886012,O/E - no left diabetic retinopathy,NOS
1484887015,O/E - diabetic maculopathy present both eyes,NOS
1484888013,O/E - diabetic maculopathy absent both eyes,NOS
1484923019,Refer to diabetic foot screener,NOS
1484954015,DNA - Did not attend diabetic clinic,NOS
1488393013,O/E - Right diabetic foot at low risk,NOS
1488394019,O/E - Right diabetic foot at high risk,NOS
1488395018,O/E - Right diabetic foot - ulcerated,NOS
1488396017,O/E - Left diabetic foot - ulcerated,NOS
1488397014,O/E - Left diabetic foot at low risk,NOS
1488398016,O/E - Left diabetic foot at high risk,NOS
1488403015,O/E - Left diabetic foot at moderate risk,NOS
1488404014,O/E - Right diabetic foot at moderate risk,NOS
1488405010,Diabetic foot risk assessment,NOS
1488406011,Diabetic pre-pregnancy counselling,NOS
1488441010,Diabetes medication review,NOS
1488898011,Hyperosmolar non-ketotic state in type 2 diabetes mellitus,Type 2
1780260010,Self monitoring urine ketones,NOS
1780274015,Advice about blood glucose control,NOS
1780286017,Diabetic peripheral neuropathy screening,NOS
1780311019,Type 1 diabetes mellitus with persistent microalbuminuria,Type 1
1780386019,Diabetic foot examination,NOS
1785163015,High risk proliferative diabetic retinopathy,NOS
1785332013,Background diabetic retinopathy,NOS
1786715019,Bronzed diabetes,NOS
2159170012,Patient on maximal tolerated therapy for diabetes,NOS
2159271018,Seen in diabetic foot clinic,NOS
2159854012,Diabetes key contact,NOS
2159948010,Diabetic retinopathy 12 month review,NOS
2159949019,Diabetic retinopathy 6 month review,NOS
2159955012,Under care of diabetologist,NOS
2159956013,Under care of diabetes specialist nurse,NOS
2159958014,Under care of diabetic foot screener,NOS
2159960011,Diabetic retinopathy screening not indicated,NOS
2159961010,Diabetic foot examination not indicated,NOS
2159969012,Patient held diabetic record issued,NOS
2159973010,O/E - right eye background diabetic retinopathy,NOS
2159974016,O/E - left eye background diabetic retinopathy,NOS
2159975015,O/E - right eye preproliferative diabetic retinopathy,NOS
2159976019,O/E - left eye preproliferative diabetic retinopathy,NOS
2159977011,O/E - right eye proliferative diabetic retinopathy,NOS
2159978018,O/E - left eye proliferative diabetic retinopathy,NOS
2159979014,O/E - right eye diabetic maculopathy,NOS
2159980012,O/E - left eye diabetic maculopathy,NOS
2160025013,Diabetic medicine,NOS
2160090014,Diabetes mellitus induced by non-steroid drugs,NOS
2474309019,Diabetic foot examination declined,NOS
2474334019,Diabetes clinical management plan,NOS
2474671011,Diabetic retinopathy screening refused,NOS
2474726011,Pan retinal photocoagulation for diabetes,NOS
2476117016,Maturity onset diabetes in youth type 1,NOS
2532974016,Transition of diabetes care options discussed,NOS
2532976019,O/E - left chronic diabetic foot ulcer,NOS
2532977011,O/E - right chronic diabetic foot ulcer,NOS
2533102013,Attended diabetes structured education programme,NOS
2533106011,Referral to diabetes preconception counselling clinic,NOS
2533107019,Patient diabetes education review,NOS
2533110014,Referral to diabetes structured education programme,NOS
2548205017,Diabetic retinopathy screening offered,NOS
2548271013,Diabetes care plan agreed,NOS
2548430017,Discharged from care of diabetes specialist nurse,NOS
2548633012,Patient held diabetic record declined,NOS
2549069011,Seen in community diabetes specialist clinic,NOS
2549196011,Patient offered diabetes structured education programme,NOS
2549222013,Seen in community diabetic specialist nurse clinic,NOS
2549778010,Seen in diabetic nurse consultant clinic,NOS
2549896013,O/E - sight threatening diabetic retinopathy,NOS
2549901010,Diabetic patient unsuitable for digital retinal photography,NOS
2622193012,Diabetes mellitus with ketoacidosis,NOS
2674067015,Latent autoimmune diabetes mellitus in adult,NOS
2693189019,Health education - diabetes,NOS
2817479019,Hyperglycaemic crisis in diabetes mellitus,NOS
2967831017,Pre-existing type 1 diabetes mellitus in pregnancy,Type 1
3537388019,Diabetic oculopathy due to type 1 diabetes mellitus,Type 1
3636751012,Acute complication with diabetes mellitus,NOS
3636752017,Acute complication co-occurrent and due to diabetes mellitus,NOS
13751000006117,Other specified diabetes mellitus with multiple comps,NOS
13761000006115,Other specified diabetes mellitus with neurological comps,NOS
13771000006110,Other specified diabetes mellitus with ophthalmic complicatn,NOS
13781000006113,Other specified diabetes mellitus with other spec comps,NOS
13811000006110,Other specified diabetes mellitus with unspecified comps,NOS
16171000000110,Diabetes monitoring admin.NOS,NOS
21631000000117,Diabetes monitoring admin.,NOS
25261000000111,Diabetes clinic administration,NOS
63021000000116,Diabetic diet - good compliance,NOS
63041000000111,Diabetic diet - poor compliance,NOS
72651000006114,Unstable insulin dependent diabetes mellitus,Type 1
72711000006117,Unstable type 1 diabetes mellitus,Type 1
72721000006113,Unstable type I diabetes mellitus,Type 1
84281000006115,Type 1 diabetes mellitus,Type 1
84291000006117,Type 1 diabetes mellitus - poor control,Type 1
