medcodeid,allcancer_term
729591000006114,"Malig neop other/ill-defined sites lip, oral cavity, pharynx"
288573014,Malignant neoplasm of pharynx unspecified
288578017,Malignant neoplasm of Waldeyer's ring
724781000006117,Malignant neoplasm of laryngopharynx
723801000006115,"Malignant neoplasm of other sites lip, oral cavity, pharynx"
288582015,"Malignant neoplasm of lip, oral cavity and pharynx NOS"
403673017,Malignant neoplasm of digestive organs and peritoneum
537051000006118,Carcinoma of digestive organs and peritoneum
1216488012,Malignant neoplasm of oesophagus
288589012,Malignant neoplasm of cervical oesophagus
288594012,Malignant neoplasm of thoracic oesophagus
288597017,Malignant neoplasm of abdominal oesophagus
288602012,Malignant neoplasm of upper third of oesophagus
288607018,Malignant neoplasm of middle third of oesophagus
288608011,Malignant neoplasm of lower third of oesophagus
1215862010,"Malignant neoplasm, overlapping lesion of oesophagus"
638841000000113,Siewert type I adenocarcinoma
288614016,Malignant neoplasm of other specified part of oesophagus
403674011,Malignant neoplasm of oesophagus NOS
1216486011,Oesophageal cancer
721851000006117,Malignant tumour of stomach
799181000006112,Tumour of stomach
288625013,Malignant neoplasm of cardia of stomach
288628010,Malignant neoplasm of cardiac orifice of stomach
288632016,Malignant neoplasm of cardio-oesophageal junction of stomach
288631011,Malignant neoplasm of gastro-oesophageal junction
288633014,Malignant neoplasm of cardia of stomach NOS
288635019,Malignant neoplasm of pylorus of stomach
722341000006119,Malignant neoplasm of prepylorus of stomach
288638017,Malignant neoplasm of pyloric canal of stomach
288639013,Malignant neoplasm of pylorus of stomach NOS
288641014,Malignant neoplasm of pyloric antrum of stomach
288644018,Malignant neoplasm of fundus of stomach
288647013,Malignant neoplasm of body of stomach
288649011,Malignant tumour of lesser curve of stomach
288650011,Malignant neoplasm of greater curve of stomach unspecified
1219534017,"Malignant neoplasm, overlapping lesion of stomach"
638721000000113,Siewert type II adenocarcinoma
638821000000118,Siewert type III adenocarcinoma
288652015,Malignant neoplasm of other specified site of stomach
288653013,Malignant neoplasm of anterior wall of stomach
288654019,Malignant neoplasm of posterior wall of stomach
288655018,Malignant neoplasm of other specified site of stomach NOS
288656017,Malignant tumour of stomach
721601000006117,Malignant tumour of small intestine
726021000006110,Malignant tumour of duodenum
725451000006118,Malignant neoplasm of jejunum
725271000006112,Malignant tumour of ileum
288659012,Malignant neoplasm of Meckel's diverticulum
1219535016,"Malignant neoplasm, overlapping lesion of small intestine"
723221000006112,Malignant neoplasm of other specified site small intestine
288663017,Malignant neoplasm of small intestine NOS
726331000006111,Malignant neoplasm of colon
725191000006116,Malignant tumour of hepatic flexure
721421000006112,Malignant tumour of transverse colon
725951000006112,Malignant tumour of descending colon
721991000006115,Malignant tumour of sigmoid colon
1216464010,Malignant neoplasm of caecum
380129018,Carcinoma of caecum
727281000006117,Malignant neoplasm of appendix
727321000006111,Malignant tumour of ascending colon
721821000006114,Malignant neoplasm of splenic flexure of colon
288670017,"Malignant neoplasm, overlapping lesion of colon"
459527013,Hereditary nonpolyposis colon cancer
288671018,Malignant neoplasm of other specified sites of colon
403682011,Malignant tumour of colon
573611000006118,Colonic cancer
288675010,"Malignant neoplasm of rectum, rectosigmoid junction and anus"
722441000006110,Malignant tumour of rectosigmoid junction
155488014,Malignant tumour of rectum
379088010,Carcinoma of rectum
379089019,Rectal carcinoma
155076015,Malignant tumour of anal canal
380137014,Anal carcinoma
174518012,Malignant neoplasm of cloacogenic zone
288685011,Malignant tumour of anus
729581000006111,"Malig neop other site rectum, rectosigmoid junction and anus"
720501000006110,"Malignant neoplasm rectum,rectosigmoid junction and anus NOS"
288688013,Malignant neoplasm of liver and intrahepatic bile ducts
157732017,Primary malignant neoplasm of liver
288690014,Primary carcinoma of liver
342834014,Hepatoblastoma of liver
342851019,Primary angiosarcoma of liver
