medcodeid,allcancer_term
482691018,Malignant neoplasm of labia minora
1210566016,Malignant neoplasm of clitoris
403701012,Malignant tumour of vulva
411399019,Primary vulval cancer
720041000006117,Malignant neoplasm/overlapping lesion/feml genital organs
289217010,Malignant neoplasm of other specified female genital organ
723341000006112,Overlapping malignant neoplasm of vulva
289219013,Malignant tumour of female genital organ
722361000006115,Malignant tumour of prostate
721171000006119,Malignant tumour of testis
289223017,Malignant neoplasm of undescended testis
457318018,Seminoma of undescended testis
109391000006119,Teratoma of undescended testis
289234019,Malignant neoplasm of undescended testis NOS
174562015,Malignant neoplasm of descended testis
457319014,Seminoma of descended testis
109371000006115,Malignant teratoma of descended testis
473991000000119,Malignant neoplasm of descended testis
403702017,Malignant neoplasm of testis NOS
380180017,Seminoma of testis
109381000006117,Malignant teratoma of testis
289242018,Malignant neoplasm of penis and other male genital organs
1228575017,Malignant neoplasm of prepuce (foreskin)
725771000006116,Malignant neoplasm of glans penis
289246015,Malignant neoplasm of body of penis
289249010,Malignant tumour of penis
726141000006116,Malignant neoplasm of epididymis
721701000006112,Malignant neoplasm of spermatic cord
723111000006110,Malignant neoplasm of scrotum
1219540012,"Malignant neoplasm, overlapping lesion of penis"
289251014,Malignant neoplasm of other male genital organ
289252019,Malignant neoplasm of seminal vesicle
289257013,Malignant neoplasm of tunica vaginalis
720591000006115,"Malignant neoplasm, overlapping lesion of male genital organs"
289259011,Malignant neoplasm of other male genital organ NOS
289260018,Malignant neoplasm of penis and other male genital organ NOS
1786811017,Malignant neoplasm of urinary bladder
289262014,Malignant neoplasm of trigone of urinary bladder
289267015,Malignant neoplasm of dome of urinary bladder
289270016,Malignant neoplasm of lateral wall of urinary bladder
289271017,Malignant neoplasm of anterior wall of urinary bladder
289272012,Malignant neoplasm of posterior wall of urinary bladder
289275014,Malignant neoplasm of bladder neck
289276010,Malignant neoplasm of ureteric orifice
720951000006119,Malignant neoplasm of urachus
289279015,Malignant neoplasm of other site of urinary bladder
289280017,"Malignant neoplasm, overlapping lesion of bladder"
289281018,Malignant neoplasm of urinary bladder NOS
729481000006112,Malignant tumour of urinary system
177051000006111,Malignant tumour of kidney
289285010,Malignant neoplasm of kidney parenchyma
289288012,Hypernephroma
722481000006116,Malignant tumour of renal pelvis
722471000006119,Malignant neoplasm of renal calyces
289294016,Malignant neoplasm of ureteropelvic junction
289296019,Malignant neoplasm of renal pelvis NOS
720961000006117,Malignant tumour of ureter
720991000006113,Malignant neoplasm of urethra
723451000006119,Malignant neoplasm of paraurethral glands
289297011,Malignant neoplasm of other urinary organs
289298018,Malignant neoplasm of overlapping lesion of urinary organs
289299014,Malignant tumour of urinary system
725761000006111,Malignant neoplasm of genitourinary organ OS
289301019,Malignant neoplasm of genitourinary organ NOS
406265010,Malignant neoplastic disease
380211016,Carcinoma of other and unspecified sites
1208876015,Malignant neoplasm of eye
729311000006110,"Malignant neoplasm of eyeball excluding conjunctiva, cornea, retina and choroid"
289308013,Malignant neoplasm of ciliary body
289311014,Malignant neoplasm of iris
289316016,Malignant neoplasm of eyeball NOS
723541000006115,Malignant neoplasm of orbit
289317013,Malignant neoplasm of connective tissue of orbit
289319011,Malignant neoplasm of orbit NOS
289322013,Malignant neoplasm of lacrimal gland
726371000006114,Malignant neoplasm of conjunctiva
726561000006114,Malignant neoplasm of cornea
722521000006116,Malignant neoplasm of retina
727181000006113,Malignant neoplasm of choroid
724721000006116,Malignant neoplasm of lacrimal duct
289325010,Malignant neoplasm of lacrimal sac
289326011,Malignant neoplasm of nasolacrimal duct
1217367011,"Malignant neoplasm, overlapping lesion of eye and adnexa"
289329016,Malignant neoplasm of other specified site of eye
289330014,Malignant neoplasm of eye NOS
2692069010,Malignant neoplasm of brain
543111000006111,Cerebral tumour - malignant
727771000006111,Malignant neoplasm of cerebrum (excluding lobes and ventricles)
289337012,Malignant neoplasm of basal ganglia
289338019,Malignant neoplasm of cerebral cortex
289341011,Malignant neoplasm of globus pallidus
289343014,Malignant neoplasm of hypothalamus
289345019,Malignant neoplasm of thalamus
289346018,Malignant neoplasm of cerebrum NOS
482730011,Malignant neoplasm of frontal lobe
482731010,Malignant neoplasm of temporal lobe
289347010,Malignant neoplasm of hippocampus
289349013,Malignant neoplasm of temporal lobe NOS
482732015,Malignant neoplasm of parietal lobe
482733013,Malignant neoplasm of occipital lobe
482734019,Malignant neoplasm of cerebral ventricles
289352017,Malignant neoplasm of choroid plexus
155175018,Malignant neoplasm of cerebellum
727511000006114,Malignant neoplasm of brainstem
289355015,Malignant neoplasm of cerebral peduncle
289356019,Malignant neoplasm of medulla oblongata
289357011,Malignant neoplasm of midbrain
289358018,Malignant neoplasm of pons
727521000006118,Malignant neoplasm of brain stem NOS
289360016,Malignant neoplasm of other parts of brain
289361017,Malignant neoplasm of corpus callosum
720631000006115,Overlapping malignant neoplasm of brain
289364013,Malignant neoplasm of other part of brain NOS
289365014,Malignant neoplasm of brain NOS
729501000006119,Malig neop of other and unspecified parts of nervous system
726641000006111,Malignant neoplasm of cranial nerves
289369015,Malignant neoplasm of olfactory bulb
155425014,Malignant neoplasm of optic nerve
727841000006110,Malignant neoplasm of acoustic nerve
289374011,Malignant neoplasm of cranial nerves NOS
482737014,Malignant neoplasm of cerebral meninges
289379018,Malignant neoplasm of cerebral meninges NOS
721751000006111,Malignant neoplasm of spinal cord
482740014,Malignant neoplasm of spinal meninges
289383018,Malignant neoplasm of spinal meninges NOS
728461000006112,Malig neopl peripheral nerves and autonomic nervous system
722911000006119,"Malignant neoplasm of peripheral nerves of head, face and neck"
722901000006117,"Malignant neoplasm of peripheral nerves of upper limb, including shoulder"
722871000006117,"Malignant neoplasm of peripheral nerves of lower limb, including hip"
289388010,Malignant neoplasm of peripheral nerve of thorax
289389019,Malignant neoplasm of peripheral nerve of abdomen
289390011,Malignant neoplasm of peripheral nerve of pelvis
720001000006119,"Malignant neoplasm, overlapping lesion of peripheral nerves and autonomic nervous system"
482741013,Malignant neoplasm of cauda equina
728471000006117,"Malig neopl, overlap lesion brain & other part of CNS"
724681000006111,"Malignant neoplasm of meninges, unspecified"
289396017,Malignant neoplasm of other specified part of nervous system
289397014,Malignant neoplasm of nervous system
721291000006110,Malignant tumour of thyroid gland
729511000006116,Malig neop of other endocrine glands and related structures
155072018,Malignant neoplasm of adrenal gland
444773019,Phaeochromocytoma
1210553016,Malignant neoplasm of adrenal cortex
1210554010,Malignant neoplasm of adrenal medulla
289406011,Malignant tumour of adrenal gland
723441000006116,Malignant neoplasm of parathyroid gland
720481000006117,Malignant neoplasm of pituitary gland and craniopharyngeal duct
722981000006114,Malignant neoplasm of pituitary gland
289409016,Malignant neoplasm of craniopharyngeal duct
730041000006115,Malig neop pituitary gland or craniopharyngeal duct NOS
722961000006116,Malignant neoplasm of pineal gland
155168019,Malignant neoplasm of carotid body
289413011,Primary malignant neoplasm of paraganglion
155269017,Malignant neoplasm of glomus jugulare
155085015,Malignant neoplasm of aortic body
155193017,Malignant neoplasm of coccygeal body
289419010,Malignant neoplasm of aortic body or paraganglia NOS
144849016,Neuroblastoma
720011000006116,"Malignant neoplasm-pluriglandular involvement,unspecified"
289421017,Malignant neoplasm of other specified endocrine gland
729471000006114,Malig neop of endocrine gland or related structure NOS
289423019,Malignant neoplasm of other and ill-defined sites
289424013,"Malignant neoplasm of head, neck and face"
289425014,Malignant tumour of head and neck
289426010,Carcinoma of cheek
289427018,Malignant neoplasm of nose
289428011,Malignant neoplasm of jaw
289429015,Malignant tumour of neck
289430013,Malignant neoplasm of supraclavicular fossa
289431012,"Malignant neoplasm of head, neck and face NOS"
289432017,Malignant neoplasm of thorax
289435015,Malignant tumour of axilla
289436019,Malignant neoplasm of chest wall
289437011,Malignant neoplasm of intrathoracic site NOS
289438018,Malignant neoplasm of thorax NOS
289441010,Malignant neoplasm of abdomen
722761000006119,Malignant neoplasm of pelvis
289442015,Malignant neoplasm of inguinal region
155477015,Malignant neoplasm of presacral region
289445018,Malignant neoplasm of pelvis NOS
289446017,Malignant neoplasm of upper limb NOS
289447014,Malignant tumour of lower limb
289448016,Malignant neoplasm of other specified sites
289449012,Malignant neoplasm of back
289450012,Malignant neoplasm of trunk
289451011,Malignant neoplasm of flank
289452016,Malignant neoplasm of specified site NOS
723601000006116,Malignant neoplasm of other and ill defined site NOS
406333010,Secondary malignant neoplasm of lymph node
732441000006113,Lymph node metastases
157761000006113,Metastasis to head and neck lymph node
157821000006114,Secondary malignant neoplasm of parotid lymph nodes
157961000006111,Secondary malignant neoplasm of mastoid lymph nodes
157921000006117,Secondary malignant neoplasm of superficial cervical lymph nodes
157971000006116,Secondary malignant neoplasm of occipital lymph nodes
157591000006113,Secondary malignant neoplasm of parotid lymph nodes
157891000006111,Secondary malignant neoplasm of submandibular lymph nodes
157801000006116,Secondary malignant neoplasm of lymph nodes of face
157901000006110,Secondary malignant neoplasm of submental lymph nodes
157491000006114,Secondary malignant neoplasm of anterior cervical lymph nodes
157571000006112,Secondary malignant neoplasm of deep cervical lymph nodes
152611000006116,Secondary unspec malig neop lymph nodes head/face/neck NOS
157751000006111,Secondary and unspec malig neop intrathoracic lymph nodes
157691000006112,Secondary malignant neoplasm of internal mammary lymph nodes
157601000006117,Secondary malignant neoplasm of diaphragmatic lymph nodes
157481000006111,Secondary malignant neoplasm of mediastinal lymph nodes
157861000006115,Secondary and unspec malig neop post mediastinal lymph nodes
157831000006112,Secondary and unspec malig neop paratracheal lymph nodes
157911000006113,Secondary malignant neoplasm of tracheobronchial lymph nodes
157641000006115,Secondary malignant neoplasm of tracheobronchial lymph nodes
157531000006114,Secondary and unspec malig neop bronchopulmonary lymph nodes
157871000006110,Secondary malignant neoplasm of bronchopulmonary lymph nodes
157741000006114,Secondary and unspec malig neop intrathoracic LN NOS
157711000006110,Secondary and unspec malig neop intra-abdominal lymph nodes
157551000006119,Secondary malignant neoplasm of coeliac lymph nodes
157941000006112,Secondary malignant neoplasm of mesenteric lymph nodes
157631000006113,Secondary malignant neoplasm of mesenteric lymph nodes
157561000006117,Secondary malignant neoplasm of iliac lymph nodes
157611000006119,Secondary and unspec malig neop external iliac lymph nodes
157701000006112,Secondary and unspec malig neop intra-abdominal LN NOS
157501000006118,Secondary malignant neoplasm of lymph nodes of upper limb
157521000006111,Secondary malignant neoplasm of axillary lymph nodes
157951000006114,Secondary malignant neoplasm of supratrochlear lymph nodes
157651000006118,Secondary malignant neoplasm of infraclavicular lymph nodes
157841000006119,Secondary malignant neoplasm of pectoral axillary lymph nodes
157511000006115,Secondary and unspec malig neop axilla and upper limb LN NOS
157661000006116,Secondary and unspec malig neop inguinal and lower limb LN
157931000006119,Secondary malignant neoplasm of superficial inguinal lymph nodes
157581000006110,Secondary malignant neoplasm of deep inguinal lymph nodes
157811000006118,Secondary and unspec malig neop of inguinal and leg LN NOS
157731000006116,Secondary and unspec malig neop intrapelvic lymph nodes
157681000006114,Secondary malignant neoplasm of internal iliac lymph nodes
157541000006116,Secondary malignant neoplasm of circumflex iliac lymph nodes
157881000006113,Secondary malignant neoplasm of sacral lymph nodes
157721000006119,Secondary and unspec malig neop intrapelvic LN NOS
157771000006118,Secondary and unspec malig neop lymph nodes multiple sites
157781000006115,Secondary and unspec malig neop lymph nodes NOS
151111000006118,Secondary malignant neoplasm of respiratory and digestive systems
704711000006119,Metastases of respiratory and/or digestive systems
380193010,Secondary carcinoma of respiratory and/or digestive systems
156319016,Secondary malignant neoplasm of lung
156375015,Secondary malignant neoplasm of mediastinum
156585018,Secondary malignant neoplasm of pleura
289515018,Secondary malignant neoplasm of respiratory tract
151621000006119,Secondary malignant neoplasm of small intestine
156007019,Secondary malignant neoplasm of duodenum
156169017,Secondary malignant neoplasm of ileum
151151000006117,Secondary malig neop of small intestine or duodenum NOS
151321000006111,Secondary malignant neoplasm of large intestine
155967013,Secondary malignant neoplasm of colon
156627017,Secondary malignant neoplasm of rectum
151101000006116,Secondary malig neop of large intestine or rectum NOS
151131000006112,Secondary malignant neoplasm of retroperitoneum and peritoneum
1215809015,Secondary malignant neoplasm of retroperitoneum
1235875018,Secondary malignant neoplasm of peritoneum
353772013,Malignant ascites
151141000006119,Secondary malig neop of retroperitoneum or peritoneum NOS
156291015,Secondary malignant neoplasm of liver
739801000006115,Metastasis to liver
289530010,Secondary malignant neoplasm of gastrointestinal tract
151121000006114,Secondary malig neop of respiratory or digestive system NOS
151421000006117,Secondary malignant neoplastic disease
380206018,Secondary carcinoma of other specified sites
156237018,Secondary malignant neoplasm of kidney
289535017,Secondary malignant neoplasm of other urinary organs
156973018,Secondary malignant neoplasm of ureter
155773015,Secondary malignant neoplasm of bladder
156977017,Secondary malignant neoplasm of urethra
289536016,Secondary malignant neoplasm of other urinary organ NOS
156777013,Secondary malignant neoplasm of skin
289538015,Secondary malignant neoplasm of skin of head
156719018,Secondary malignant neoplasm of skin of face
156747019,Secondary malignant neoplasm of skin of neck
156765015,Secondary malignant neoplasm of skin of trunk
289542017,Secondary malignant neoplasm of skin of shoulder and arm
289543010,Secondary malignant neoplasm of skin of hip and leg
156699010,Secondary malignant neoplasm of skin of breast
289545015,Secondary malignant neoplasm of skin NOS
289546019,Secondary malignant neoplasm of brain and spinal cord
155879014,Secondary malignant neoplasm of brain
156825010,Metastasis to spinal cord
543041000006111,Cerebral metastases
289549014,Secondary malignant neoplasm of brain or spinal cord NOS
289550014,Secondary malignant neoplasm of other part of nervous system
1235814012,Secondary malignant neoplasm of bone and bone marrow
216227011,Pathological fracture due to metastatic bone disease
156493015,Secondary malignant neoplasm of ovary
155711012,Secondary malignant neoplasm of adrenal gland
406266011,Secondary malignant neoplasm of other specified sites
511250010,Secondary malignant neoplasm of breast
156989015,Secondary malignant neoplasm of uterus
289553011,Secondary malignant neoplasm of cervix uteri
289554017,Secondary cancer of the cervix
156997010,Secondary malignant neoplasm of vagina
157025019,Secondary malignant neoplasm of vulva
511385013,Secondary cancer of the vulva
156607018,Secondary malignant neoplasm of prostate
156883018,Secondary malignant neoplasm of testis
156557015,Secondary malignant neoplasm of penis
289557012,Secondary malignant neoplasm of epididymis and vas deferens
156919012,Secondary malignant neoplasm of tongue
151401000006110,Secondary malignant neoplasm of other specified site NOS
289559010,Secondary malignant neoplasm of other specified site NOS
289561018,Malignant neoplasm of unspecified site
403704016,Disseminated malignancy
450901012,Carcinomatosis
289565010,Other malignant neoplasm NOS
289566011,Malignant neoplasms of independent (primary) multiple sites
755631000006110,Kaposi's sarcoma of multiple organs
454091013,Primary malignant neoplasm of unknown site
409845013,Secondary malignant neoplasm of unknown site
380059013,Malignant tumour of unknown origin
289571016,Malignant neoplasm of unspecified site NOS
755671000006113,"Kaposi's sarcoma, unspecified"
723641000006119,Malignant neoplasm of other and unspecified site OS
289574012,Malignant neoplasm of other and unspecified site NOS
403705015,Malignant neoplasm of lymphatic and haemopoietic tissue
725221000006111,Malignant neoplasm of histiocytic tissue
289580016,Lymphosarcoma and reticulosarcoma
1211679013,Reticulosarcoma
289581017,Reticulosarcoma of unspecified site
289582012,"Reticulosarcoma of lymph nodes of head, face and neck"
157745018,Reticulosarcoma of intra-abdominal lymph nodes
157752016,Reticulosarcoma of spleen
289590012,Reticulosarcoma NOS
289591011,Lymphosarcoma
289592016,Lymphosarcoma of unspecified site
289593014,"Lymphosarcoma of lymph nodes of head, face and neck"
289594015,Lymphosarcoma of intrathoracic lymph nodes
289595019,Lymphosarcoma of intra-abdominal lymph nodes
731691000006110,Lymphosarcoma of lymph nodes of inguinal region and lower limb
289599013,Lymphosarcoma of spleen
289601010,Lymphosarcoma NOS
2663190016,Burkitt's lymphoma
289603013,"Burkitt's lymphoma of lymph nodes of head, face and neck"
289604019,Burkitt's lymphoma of intrathoracic lymph nodes
289605018,Burkitt's lymphoma of intra-abdominal lymph nodes
527801000006112,Burkitt's lymphoma of lymph nodes of inguinal region and lower limb
289612010,Burkitt's lymphoma NOS
289613017,Other specified reticulosarcoma or lymphosarcoma
289614011,Reticulosarcoma or lymphosarcoma NOS
2663473018,Hodgkin's disease
1815031000006110,Hodgkin lymphoma
826681000006115,"Hodgkin lymphoma, nodular lymphocyte predominance (clinical)"
826751000006118,"Hodgkin's paragranuloma of lymph nodes of head, face, and neck"
289621011,Hodgkin's paragranuloma of intra-abdominal lymph nodes
2663476014,Hodgkin's granuloma
289629013,"Hodgkin's granuloma of lymph nodes of head, face and neck"
2663376010,Hodgkin's sarcoma
289643015,Hodgkin's sarcoma of lymph nodes of axilla and upper limb
826261000006110,"Hodgkin's disease, lymphocytic-histiocytic predominance"
826991000006114,"Hodgkin's disease, lymphocytic-histiocytic predominance (clinical)"
826951000006115,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of head, face and neck"
826941000006117,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrathoracic lymph nodes"
826921000006112,"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes"
826911000006116,"Hodgkin's disease, lymphocytic-histiocytic predominance of lymph nodes of inguinal region and lower limb"
826931000006110,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes"
289659015,"Hodgkin's, lymphocytic-histiocytic predominance NOS"
1220414014,"Hodgkin's disease, nodular sclerosis"
289660013,"Hodgkin's disease, nodular sclerosis of unspecified site"
826611000006110,"Hodgkin's disease, nodular sclerosis of lymph nodes of head, face and neck"
826651000006111,"Hodgkin's disease, nodular sclerosis of intrathoracic lymph nodes"
826631000006116,"Hodgkin's disease, nodular sclerosis of intra-abdominal lymph nodes"
826661000006113,"Hodgkin's disease, nodular sclerosis of lymph nodes of axilla and upper limb"
826671000006118,"Hodgkin's disease, nodular sclerosis of lymph nodes of multiple sites"
289669014,"Hodgkin's disease, nodular sclerosis NOS"
2663461018,"Hodgkin's disease, mixed cellularity"
289670010,"Hodgkin's disease, mixed cellularity of unspecified site"
826571000006117,"Hodgkin's disease, mixed cellularity of lymph nodes of head, face and neck"
826561000006112,"Hodgkin's disease, mixed cellularity of intrathoracic lymph nodes"
289679011,"Hodgkin's disease, mixed cellularity NOS"
2663187010,"Hodgkin's disease, lymphocytic depletion"
289680014,Hodgkin's lymphocytic depletion of unspecified site
826471000006116,"Hodgkin's disease, lymphocytic depletion of lymph nodes of axilla and upper limb"
289699017,"Hodgkin's disease, lymphocytic depletion of spleen"
289701017,"Hodgkin's disease, lymphocytic depletion NOS"
1815091000006114,Other classical Hodgkin lymphoma
826121000006114,Hodgkin's disease NOS
289703019,"Hodgkin's disease NOS, unspecified site"
289704013,"Hodgkin's disease of lymph nodes of head, face AND/OR neck"
289705014,Hodgkin's disease of intrathoracic lymph nodes
826181000006113,Hodgkin's disease of lymph nodes of axilla AND/OR upper limb
826171000006110,Hodgkin's disease of lymph nodes of inguinal region AND/OR lower limb
289710013,Hodgkin's disease of spleen
289711012,Hodgkin's disease of lymph nodes of multiple sites
289702012,Hodgkin's disease NOS
289713010,Other malignant neoplasm of lymphoid and histiocytic tissue
673611000006113,Nodular lymphoma
289717011,Nodular lymphoma of unspecified site
289718018,"Nodular lymphoma of lymph nodes of head, face and neck"
157686016,Nodular lymphoma of intra-abdominal lymph nodes
673681000006118,Nodular lymphoma of lymph nodes of inguinal region and lower limb
157692010,Nodular lymphoma of lymph nodes of multiple sites
289726014,Nodular lymphoma NOS
2663191017,Mycosis fungoides
289727017,Mycosis fungoides of unspecified site
157075017,Mycosis fungoides of lymph nodes of axilla and upper limb
683691000006113,Mycosis fungoides of lymph nodes of inguinal region and lower limb
289738017,Mycosis fungoides of lymph nodes of multiple sites
289739013,Mycosis fungoides NOS
146651000006118,Sezary's disease
289749011,Sezary's disease NOS
445586018,Malignant histiocytosis
289750011,Malignant histiocytosis of unspecified site
728571000006118,"Malignant histiocytosis of lymph nodes of head, face and neck"
154183017,Malignant histiocytosis of intra-abdominal lymph nodes
289754019,Malignant histiocytosis NOS
745001000006114,Leukaemic reticuloendotheliosis
745011000006112,Leukaemic reticuloendotheliosis
1591211000006111,Hairy cell leukaemia
289756017,LRE - Leukaemic reticuloendotheliosis
746301000006117,Leukaemic reticuloendotheliosis of intra-abdominal lymph nodes
289773015,Leukaemic reticuloendotheliosis NOS
745971000006116,Letterer-Siwe disease (clinical)
824231000006111,"Histiocytosis X (acute, progressive)"
289776011,Letterer-Siwe disease of unspecified sites
154082012,Letterer-Siwe disease of intrathoracic lymph nodes
154089015,Letterer-Siwe disease of lymph nodes of multiple sites
289780018,Letterer-Siwe disease NOS
289781019,Malignant mast cell tumours
289783016,Mast cell malignancy
716911000006110,Mast cell malignancy of lymph nodes of inguinal region and lower limb
289791013,Mast cell malignancy of lymph nodes of multiple sites
289793011,Malignant mast cell tumour NOS
587201000006115,Non-Hodgkin's lymphoma
2839871014,Non-Hodgkin lymphoma
414257019,Follicular non-Hodgkin's small cleaved cell lymphoma
763431000006118,Follicular non-Hodgkin's mixed small cleaved and large cell lymphoma
414278016,Follicular non-Hodgkin's large cell lymphoma
289799010,Diffuse non-Hodgkin's small cell (diffuse) lymphoma
621041000006116,Diffuse non-Hodgkin's mixed small and large cell (diffuse) lymphoma
1219545019,Diffuse non-Hodgkin's immunoblastic (diffuse) lymphoma
621071000006112,"Diffuse non-Hodgkin's lymphoma, lymphoblastic (clinical)"
289812013,Diffuse non-Hodgkin's lymphoma undifferentiated (diffuse)
414252013,Mucosa-associated lymphoma
414253015,Maltoma
1668101000000112,Diffuse non-Hodgkin's large cell lymphoma
289813015,Other types of follicular non-Hodgkin's lymphoma
451429010,Follicular non-Hodgkin's lymphoma
763421000006116,Follicular lymphoma NOS
444799014,Diffuse non-Hodgkin's centroblastic lymphoma
198006010,Diffuse large B-cell lymphoma
82041000006113,B-cell non-Hodgkin's lymphoma
621091000006113,"Diffuse non-Hodgkin's lymphoma, unspecified"
1815151000006116,Follicular lymphoma
1815461000006110,Low grade B-cell lymphoma
123978016,Mantle cell lymphoma
2168691000000110,Lymphoblastic (diffuse) lymphoma
289820010,Malignant lymphoma (clinical)
344657018,T-zone lymphoma
344670010,Lymphoepithelioid lymphoma
2659756011,Peripheral T-cell lymphoma
445587010,Malignant reticulosis
289826016,Malignant immunoproliferative small intestinal disease
344806015,True histiocytic lymphoma
39671000006114,Cutaneous/peripheral T-cell lymphoma
728721000006111,Malignant lymphoma
289830018,Malignant lymphoma NOS of unspecified site
289831019,"Malignant lymphoma of lymph nodes of head, face AND/OR neck"
289832014,Malignant lymphoma of intrathoracic lymph nodes
289842011,Malignant lymphoma of intra-abdominal lymph nodes
728781000006110,Malignant lymphoma of lymph nodes of axilla AND/OR upper limb
728771000006112,Malignant lymphoma of lymph nodes of inguinal region AND/OR lower limb
289845013,Malignant lymphoma of intrapelvic lymph nodes
289846014,Malignant lymphoma of spleen
289847017,Malignant lymphoma of lymph nodes of multiple sites
289829011,Malignant lymphoma NOS
289849019,Malignant neoplasms of lymphoid and histiocytic tissue NOS
81421000006117,Unspec malig neop lymphoid/histiocytic lymph node head/neck
81401000006110,Unspec malig neop lymphoid/histiocytic intra-abdominal nodes
81431000006119,Unspec malig neop lymphoid/histiocytic nodes inguinal/leg
81461000006111,Unspec malig neop lymphoid/histiocytic of multiple sites
403710016,Lymphoid and histiocytic malignancy NOS
411516014,Immunoproliferative neoplasm
695561000006118,Multiple myeloma and immunoproliferative neoplasms
344820010,Multiple myeloma
344818012,Kahler's disease
344819016,Myelomatosis
289867014,"Malignant plasma cell neoplasm, extramedullary plasmacytoma"
139571000006117,Solitary myeloma
225051000006119,Plasmacytoma
457317011,Lambda light chain myeloma
18484012,Plasmacytoma - disorder
201743012,Plasma cell leukaemia
289873010,Other immunoproliferative neoplasms
289874016,Immunoproliferative neoplasm or myeloma NOS
289876019,Lymphoid leukaemia
289875015,Lymphatic leukaemia
509741017,Acute lymphoid leukaemia
414160018,B-cell acute lymphoblastic leukaemia
201652012,Chronic lymphoid leukaemia
555131000006118,"Chronic lymphoid leukaemia, disease"
414008012,B-cell chronic lymphocytic leukaemia
289880012,Subacute lymphoid leukaemia
289881011,Other lymphoid leukaemia
202801000006110,Prolymphocytic leukaemia
289885019,Adult T-cell leukaemia
289888017,Other lymphoid leukaemia NOS
289889013,Lymphoid leukaemia NOS
289892012,Myeloid leukaemia
201612010,Acute myeloid leukaemia
201656010,Chronic myeloid leukaemia
554641000006115,Chronic granulocytic leukaemia
289895014,Chronic eosinophilic leukaemia
289898011,Chronic neutrophilic leukaemia
289900013,Chronic myeloid leukaemia NOS
289901012,Subacute myeloid leukaemia
157091019,Myeloid sarcoma
289903010,Chloroma
289904016,Granulocytic sarcoma
459741000006115,APL - Acute promyelocytic leukaemia
289911017,Other myeloid leukaemia NOS
289912012,Myeloid leukaemia NOS
289917018,Monocytic leukaemia
289919015,Monoblastic leukaemia
2534415018,Acute monocytic leukaemia
289923011,Chronic monocytic leukaemia
289924017,Subacute monocytic leukaemia
289926015,Other monocytic leukaemia
289930017,Other monocytic leukaemia NOS
289933015,Monocytic leukaemia NOS
289934014,Other specified leukaemia
456641000006119,Acute erythraemia and erythroleukaemia
201658011,Di Guglielmo's disease
554151000006112,Polycythaemia vera (clinical)
819461000006112,Heilmeyer - Schoner disease
289949018,Megakaryocytic leukaemia
289948014,Thrombocytic leukaemia
716871000006112,Mast cell leukaemia
133678011,Acute panmyelosis
344846014,Acute myelofibrosis
1815691000006116,Myelodysplastic/myeloproliferative disease
289955011,Other and unspecified leukaemia
731621000006113,Lymphosarcoma cell leukaemia
289959017,Other and unspecified leukaemia NOS
289960010,Other specified leukaemia NOS
289963012,Leukaemia of unspecified cell type
289964018,Acute leukaemia
289967013,Chronic leukaemia
289968015,Subacute leukaemia
289971011,Other leukaemia of unspecified cell type
289972016,Leukaemia
289974015,Myelomonocytic leukaemia
458201000006115,M4 - Acute myelomonocytic leukaemia
474077018,Chronic myelomonocytic leukaemia
289980011,Subacute myelomonocytic leukaemia
727811000006111,Malignant neoplasm lymphatic or haematopoietic tissue OS
2645960018,Myeloproliferative disorder
683351000006111,Myeloproliferative disease
450987014,Myelosclerosis with myeloid metaplasia
289987014,Malignant neoplasm lymphatic or haematopoietic tissue NOS
173950019,Kaposi's sarcoma of lymph nodes
292097018,[X]Additional neoplasm classification terms
396301000006110,"[X]Malignant neoplasm of lip, oral cavity and pharynx"
292099015,Malignant tumour of digestive organ
292101010,Liver carcinoma
292102015,"[X]Malignant neoplasm of intestinal tract, part unspecified"
396651000006117,Malignant neoplasm of gastrointestinal tract
396381000006118,[X]Malignant neoplasm of respiratory and intrathoracic organs
292105018,Malignant neoplasm of bronchus or lung
396561000006116,"[X]Malignant neoplasm/overlap lesion/heart,mediastinm+pleura"
396191000006117,[X]Malignant neopl/overlapping les/resp+intrathoracic organs
396511000006119,[X]Malignant neoplasm/ill-defined sites within resp system
292110019,Malignant tumour of mediastinum
292111015,Malignant neoplasm of skeletal system
396481000006110,Malignant neoplasm of bone and articular cartilage of limb
396551000006118,Overlapping malignant neoplasm of bone and articular cartilage
396471000006112,"[X]Malignant neoplasm/bone+articular cartilage, unspecified"
292116013,[X]Melanoma and other malignant neoplasms of skin
396171000006118,[X]Malignant melanoma of other+unspecified parts of face
292118014,"[X]Malignant melanoma of skin, unspecified"
292121011,[X]Malignant neoplasm of mesothelial and soft tissue
403762019,"Mesothelioma (malignant, clinical disorder)"
398291000006110,[X]Mesothelioma of lung
292126018,"Cancer, mesothelioma"
292128017,"[X]Kaposi's sarcoma, unspecified"
396601000006116,Malignant neoplasm of peripheral nerves of trunk
292132011,"[X]Malignant neoplasm of peritoneum, unspecified"
396091000006118,"[X]Mal neoplasm/connective+soft tissue of trunk,unspecified"
396501000006117,"[X]Malignant neoplasm/connective + soft tissue,unspecified"
292135013,Overlapping malignant neoplasm of skin
292136014,Kaposi's sarcoma (clinical)
