medcodeid,pvd_term
451376017,H/O: Peripheral vascular disease procedure
455900010,Open insertion of iliac artery stent
455901014,Percutaneous transluminal insertion of iliac artery stent
459306016,Type II diabetes mellitus with peripheral angiopathy
459308015,Type 2 diabetes mellitus with peripheral angiopathy
530091000006111,Bypass common iliac artery by aorta/com iliac art anast NEC
530111000006119,Bypass femoral artery by fem/peron a anast c prosthesis NEC
530121000006110,Bypass femoral artery by fem/peron a anast c vein graft NEC
530131000006113,Bypass femoral artery by fem/pop art anast c prosthesis NEC
530141000006115,Bypass femoral artery by fem/pop art anast c vein graft NEC
530151000006118,Bypass femoral artery by fem/tib art anast c prosthesis NEC
530161000006116,Bypass femoral artery by fem/tib art anast c vein graft NEC
530171000006111,Bypass femoral artery by femoral/femoral art anastomosis NEC
530181000006114,Bypass iliac artery by aorta/ext iliac art anastomosis NEC
530191000006112,Bypass iliac artery by femoral/femoral art anastomosis NEC
530201000006110,Bypass iliac artery by iliac/femoral artery anastomosis NEC
530211000006113,Bypass iliac artery by iliac/iliac artery anastomosis NEC
530221000006117,Bypass leg artery by aorta/com femoral art anastomosis NEC
530231000006119,Bypass leg artery by aorta/deep femoral art anastomosis NEC
530781000006110,Bypass popliteal art by pop/peron art anast c vein graft NEC
530791000006113,Bypass popliteal artery by pop/fem artery anastomosis NEC
530801000006114,Bypass popliteal artery by pop/peron art anast c prosth NEC
530811000006112,Bypass popliteal artery by pop/pop a anast c prosthesis NEC
530821000006116,Bypass popliteal artery by pop/pop a anast c vein graft NEC
530831000006118,Bypass popliteal artery by pop/tib a anast c prosthesis NEC
530841000006111,Bypass popliteal artery by pop/tib a anast c vein graft NEC
5568871000006110,Emergency femorofemoral prosthetic crossover graft
616351000006115,Diabetes mellitus with gangrene
616441000006113,Diabetes mellitus with peripheral circulatory disorder
616561000006113,"Diabetes mellitus, adult with gangrene"
616581000006115,"Diabetes mellitus, adult, + peripheral circulatory disorder"
616591000006117,"Diabetes mellitus, juvenile +peripheral circulatory disorder"
616831000006118,Diabetes with gangrene
639391000006112,Emerg bypass comm iliac art by aorta/com iliac art anast NEC
639401000006114,Emerg bypass fem art by fem/peron a anast c vein graft NEC
639411000006112,Emerg bypass femoral art by fem/peron art anast c prosth NEC
639421000006116,Emerg bypass femoral art by fem/pop a anast c vein graft NEC
639431000006118,Emerg bypass femoral art by fem/pop art anast c prosth NEC
639441000006111,Emerg bypass femoral art by fem/tib a anast c vein graft NEC
639451000006113,Emerg bypass femoral art by fem/tib art anast c prosth NEC
639461000006110,Emerg bypass femoral artery by fem/fem art anastomosis NEC
639471000006115,Emerg bypass iliac art by iliac/femoral art anastomosis NEC
639481000006117,Emerg bypass iliac artery by aorta/ext iliac art anast NEC
639491000006119,Emerg bypass iliac artery by femoral/femoral art anast NEC
639501000006110,Emerg bypass iliac artery by iliac/iliac art anastomosis NEC
639521000006117,Emerg bypass leg artery by aorta/com fem art anastomosis NEC
639531000006119,Emerg bypass leg artery by aorta/deep fem anastomosis NEC
639541000006112,Emerg bypass pop art by pop/peron art anast c vein graft NEC
639551000006114,Emerg bypass pop art by pop/pop art anast c vein graft NEC
639561000006111,Emerg bypass pop art by pop/tib art anast c vein graft NEC
639571000006116,Emerg bypass popliteal art by pop/peron a anast c prosth NEC
639581000006118,Emerg bypass popliteal art by pop/pop art anast c prosth NEC
639591000006115,Emerg bypass popliteal art by pop/tib art anast c prosth NEC
639601000006111,Emerg bypass popliteal artery by pop/fem art anastomosis NEC
639661000006112,Emerg replace aneur fem art by fem/peron a anast c vein graf
639671000006117,Emerg replace aneur pop art by pop/peron a anast c vein graf
639681000006119,Emerg replace aneurys com iliac a by aorta/com iliac a anast
639691000006116,Emerg replace aneurys fem art by fem/tib a anast c vein graf
639701000006116,Emerg replace aneurys iliac art by aorta/ext iliac art anast
639711000006118,Emerg replace aneurys pop art by pop/pop a anast c vein graf
639741000006119,Emerg replace aneurysm fem art by fem/peron a anast c prosth
639751000006117,Emerg replace aneurysm fem art by fem/pop anast c vein graft
639761000006115,Emerg replace aneurysm fem art by fem/pop art anast c prosth
639771000006110,Emerg replace aneurysm fem artery by fem/fem art anastomosis
639781000006113,Emerg replace aneurysm femoral art by fem/tib a anast c pros
639791000006111,Emerg replace aneurysm iliac art by iliac/femoral art anast
639801000006112,Emerg replace aneurysm iliac artery by iliac/iliac art anast
639821000006119,Emerg replace aneurysm leg artery by aorta/com fem art anast
639831000006116,Emerg replace aneurysm leg artery by aorta/sup fem art anast
639841000006114,Emerg replace aneurysm pop art by pop/peron a anast c prosth
